# This file was produced by samtools stats (1.17+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats trimmomaticbwamapped/Ceratopipra_rubrocapilla_OM172.GBSPipfilbwa.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	5697fd72	7c9ee696	3a72bff6
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2619189	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2619189
SN	is sorted:	1
SN	1st fragments:	2619189
SN	last fragments:	0
SN	reads mapped:	2493757
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	125432
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	318246	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	64194
SN	total length:	198658181	# ignores clipping
SN	total first fragment length:	198658181	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	190584907	# ignores clipping
SN	bases mapped (cigar):	186359506	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	4195965	# from NM fields
SN	error rate:	2.251543e-02	# mismatches / bases mapped (cigar)
SN	average length:	75
SN	average first fragment length:	76
SN	average last fragment length:	0
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	0
SN	average quality:	36.2
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	299	63117	0	0	0	0	0	0	0	0	0	30268	0	21016	42658	272	31814	0	19531	73237	47332	97909	170998	2020721	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	1150	136554	0	0	0	0	0	0	0	0	0	38333	28	14016	72281	0	52793	0	18018	116218	47863	141769	109603	1870460	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1469	2003	221787	0	0	0	0	0	0	0	0	0	19680	200	9514	88162	0	28112	18	12694	123397	31727	182246	188438	1709742	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103	779	174678	0	0	0	0	0	0	0	1	0	44819	63	19019	59946	15213	38140	68	20013	100956	43345	130073	152667	1818306	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	58630	0	0	0	0	0	0	0	4	0	38060	53	21089	30539	27779	36271	29	18445	72809	41111	105184	160444	2007690	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	266	110168	0	0	0	0	0	0	0	1	0	24778	100	12147	60072	8262	28251	46	47282	62380	34713	137247	177260	1915218	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33179	20699	59190	0	0	0	0	0	0	0	87	0	28275	15334	15366	40851	7018	33117	6133	60772	55467	53969	91672	142822	1955238	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17408	19074	84494	0	0	0	0	0	0	0	121	15	29275	7321	27245	40081	3682	30765	1722	57715	55050	46107	106534	153153	1939427	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17453	19002	88094	0	0	0	0	0	0	0	402	97	29131	7844	29064	42984	128	31400	1959	54897	59164	45921	108887	153001	1929761	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25514	22275	75438	0	0	0	0	0	0	0	1722	179	28465	12178	31645	39027	15	31092	3624	57311	58731	49046	103156	148655	1931116	0
