# This file was produced by samtools stats (1.17+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats trimmomaticbwamapped/Ceratopipra_rubrocapilla_PIME135.GBSPipfilbwa.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	0e94c025	3672eef0	106d144f
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2575399	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2575399
SN	is sorted:	1
SN	1st fragments:	2575399
SN	last fragments:	0
SN	reads mapped:	2448933
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	126466
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	316369	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	63152
SN	total length:	194103808	# ignores clipping
SN	total first fragment length:	194103808	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	186041788	# ignores clipping
SN	bases mapped (cigar):	181827534	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	4104790	# from NM fields
SN	error rate:	2.257518e-02	# mismatches / bases mapped (cigar)
SN	average length:	75
SN	average first fragment length:	75
SN	average last fragment length:	0
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	0
SN	average quality:	36.2
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	199	87424	0	0	0	0	0	0	0	0	0	34877	206	18007	43107	731	34709	0	24126	79348	46488	96953	192916	1915321	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1711	248	138523	0	0	0	0	0	0	0	0	0	44048	693	12158	80711	533	57147	129	23469	127208	54948	146442	122748	1764683	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5446	1270	255112	0	0	0	0	0	0	0	0	0	19969	842	7764	101423	77	28701	23	13762	136258	32254	200480	191313	1580705	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	231	242713	0	0	0	0	0	0	0	0	0	45833	95	26381	80512	0	41857	95	20306	122751	47250	148355	144579	1653733	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525	144	167827	0	0	0	0	0	0	0	2	0	60883	198	36412	75264	0	56458	60	22578	118941	56151	143521	145846	1688589	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313	437	142524	0	0	0	0	0	0	0	0	0	34866	150	17747	63085	17521	35539	85	42858	78055	41283	147532	209243	1743161	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27627	18084	59865	0	0	0	0	0	0	0	19	0	36902	10343	21166	36435	18385	31893	5374	57074	56271	54290	99539	151154	1890978	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17310	17044	83911	0	0	0	0	0	0	0	40	0	31934	7815	18798	47548	10115	32721	2016	60465	59997	50701	108475	154895	1871614	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15630	16813	82237	0	0	0	0	0	0	0	57	16	30775	6757	16229	46608	7846	31702	2043	53502	58337	47106	104393	147984	1907364	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23469	20424	70870	0	0	0	0	0	0	0	452	46	29614	9763	19865	43939	3602	30135	3529	54585	56656	48583	98676	141699	1919492	0
FFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17821	16943	86978	0	0	0	0	0	0	0	960	99	29000	8443	22177	47857	96	31367	2532	49928	62226	45774	106657	144594	1901947	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17891	18134	90407	0	0	0	0	0	0	0	1265	698	27564	8942	25670	45966	55	31529	2647	50224	62607	45095	109258	149510	1887937	0
FFQ	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17650	17576	87890	0	0	0	0	0	0	0	1642	1639	27062	9388	29376	41911	140	31429	2623	49052	62799	45611	108525	150266	1890820	0
