# This file was produced by samtools stats (1.17+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats trimmomaticbwamapped/Ceratopipra_rubrocapilla_TLP123.GBSPipfilbwa.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	5fef16d4	776722dc	292b6e6b
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1466618	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1466618
SN	is sorted:	1
SN	1st fragments:	1466618
SN	last fragments:	0
SN	reads mapped:	1389146
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	77472
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	171536	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	13372
SN	total length:	109827556	# ignores clipping
SN	total first fragment length:	109827556	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	104801378	# ignores clipping
SN	bases mapped (cigar):	102871355	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	2350395	# from NM fields
SN	error rate:	2.284791e-02	# mismatches / bases mapped (cigar)
SN	average length:	74
SN	average first fragment length:	75
SN	average last fragment length:	0
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	0
SN	average quality:	36.1
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	75	21952	0	0	0	0	0	0	0	0	0	24243	2	23334	46378	1672	18578	0	11372	36848	20053	67593	154867	1039561	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	2023	76994	0	0	0	0	0	0	0	0	0	26834	33	8836	44589	393	31557	15	14625	73873	33154	84426	86523	982647	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	555	153177	0	0	0	0	0	0	0	0	0	11469	37	4435	58841	48	17238	17	7057	78959	18563	115015	109122	891976	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	802	143295	0	0	0	0	0	0	0	0	0	26498	76	15427	45404	0	24292	76	11763	68731	26884	82648	82669	937550	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	193	99512	0	0	0	0	0	0	0	0	0	36486	92	21697	42155	0	31632	65	13027	66600	31467	81606	83044	958089	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	132	87225	0	0	0	0	0	0	0	0	0	20420	74	10640	36654	10358	20658	42	24008	44430	23146	83943	118392	986040	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15667	10373	36494	0	0	0	0	0	0	0	7	0	21965	5677	12831	21484	11369	18246	2939	32127	32663	30873	57750	85801	1070352	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9702	9711	49493	0	0	0	0	0	0	0	24	1	19293	4342	11191	27406	5912	18807	1184	34053	34625	28400	62267	88571	1061636	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9218	9780	49382	0	0	0	0	0	0	0	32	8	18126	3875	9158	27173	4565	18295	1217	30692	33532	26952	60013	84410	1080190	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13746	11895	42338	0	0	0	0	0	0	0	237	32	17744	5594	11441	26091	2139	17571	1985	30930	32486	27724	56295	80342	1088028	0
FFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10345	9903	51261	0	0	0	0	0	0	0	539	57	17207	4700	12363	28464	64	18185	1410	28397	35791	26512	60739	83342	1077339	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10582	10782	53305	0	0	0	0	0	0	0	666	381	16660	5064	14461	26876	34	18649	1476	29059	35894	26320	62196	85043	1069170	0
FFQ	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10380	10435	52150	0	0	0	0	0	0	0	929	873	16276	5327	16917	24731	63	18166	1542	28399	36374	26205	62195	85396	1070260	0
FFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10641	10780	52855	0	0	0	0	0	0	0	1186	1463	15469	5770	17211	23972	91	18316	1457	28385	36046	26196	61871	85857	1069052	0
FFQ	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10903	9584	51845	0	0	0	0	0	0	0	1520	2399	14065	6777	16967	23368	184	17667	1505	27406	36603	26087	60798	85951	1072989	0
FFQ	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11148	9675	51758	0	0	0	0	0	0	0	1908	3830	12012	7359	15859	23322	229	17702	1441	27418	35765	25905	59945	84925	1076417	0
FFQ	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10169	9759	51551	0	0	0	0	0	0	0	2201	5972	9436	8173	14833	22991	380	16863	1406	27096	35424	26041	59916	84964	1079443	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9995	10213	51417	0	0	0	0	0	0	0	2330	8511	6986	9374	13286	23517	552	16872	1345	26450	35426	25674	59484	84756	1080430	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9890	9761	50492	0	0	0	0	0	0	0	2467	10913	4412	10217	12615	22712	715	16236	1385	26411	34872	25719	58788	84101	1084912	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9937	9703	49359	0	0	0	0	0	0	0	2543	12925	2339	11071	11462	22596	839	15992	1347	26166	34495	25692	57854	83083	1089215	0
FFQ	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9852	9840	49534	0	0	0	0	0	0	0	2523	14217	1015	11677	10929	22805	1022	15756	1373	26326	34902	26397	58168	83069	1087213	0
FFQ	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9816	9397	48280	0	0	0	0	0	0	0	2460	14740	337	12003	10638	22159	1079	15686	1441	26033	34858	26566	57989	83196	1089940	0
FFQ	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9818	9626	48276	0	0	0	0	0	0	0	2480	15107	133	12129	10252	22721	1076	15709	1350	26515	34689	26187	57823	83023	1089704	0
FFQ	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10038	9665	48543	0	0	0	0	0	0	0	2548	14588	94	12007	10321	22614	1092	15335	1504	26897	34483	26457	58440	84100	1087892	0
FFQ	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9751	8928	46805	0	0	0	0	0	0	0	2579	14883	103	12104	10408	21919	1035	15194	1425	25869	34346	26341	56814	83506	1094608	0
FFQ	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9324	9185	46646	0	0	0	0	0	0	0	2430	14549	113	11771	10293	21820	1052	15161	1396	25638	34153	26453	57145	82725	1096764	0
FFQ	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10037	9403	49526	0	0	0	0	0	0	0	2450	14709	98	11729	10305	22050	1130	15027	1328	26183	33796	26143	56779	83127	1092798	0
