SampleID	RADseq	IQtree2	PCoA	Species	Population	Locality	Latitude	Longitude	Code	Haplogroup
Ceratopipra_rubrocapilla_CPE012	1	1	1	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE012	2
Ceratopipra_rubrocapilla_CPE025	1	1	1	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE025	2
Ceratopipra_rubrocapilla_CPE049	1	1	1	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE049	2
Ceratopipra_rubrocapilla_CPE066	1	0	0	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE066	2
Ceratopipra_rubrocapilla_CPE067	1	0	0	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE067	2
Ceratopipra_rubrocapilla_CPE069	1	1	1	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE069	2
Ceratopipra_rubrocapilla_CPE071	1	0	0	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPE071	2
Ceratopipra_rubrocapilla_CPEII008	1	1	1	rubrocapilla	AtlanticForest	Ibateguara	-8.976	-35.930	CPEII008	2
Ceratopipra_rubrocapilla_UNA002	1	1	1	rubrocapilla	AtlanticForest	Ilheus   	-14.780	-39.040	UNA002	2
Ceratopipra_rubrocapilla_UNA018	1	1	1	rubrocapilla	AtlanticForest	Ilheus   	-14.780	-39.040	UNA018	2
Ceratopipra_rubrocapilla_UNA088	1	1	1	rubrocapilla	AtlanticForest	Ilheus   	-14.780	-39.040	UNA088	2
Ceratopipra_rubrocapilla_UNA110	1	1	1	rubrocapilla	AtlanticForest	Ilheus   	-14.780	-39.040	UNA110	2
Ceratopipra_rubrocapilla_UNA124	1	1	1	rubrocapilla	AtlanticForest	Ilheus   	-14.780	-39.040	UNA124	2
Ceratopipra_rubrocapilla_AMA340	1	1	1	rubrocapilla	Inambari	Atalaia do Norte	-4.530277	-71.61625	AMA340	1
Ceratopipra_rubrocapilla_AMA601	1	1	1	rubrocapilla	Inambari	Atalaia do Norte	-4.530277	-71.61625	AMA601	1
Ceratopipra_rubrocapilla_AMA656	1	1	1	rubrocapilla	Inambari	Atalaia do Norte	-4.530277	-71.61625	AMA656	3
Ceratopipra_rubrocapilla_BR36440	1	0	1	rubrocapilla	Inambari	FortdoABUNÃ     	-9.76838	-65.52375	BR36440	1
Ceratopipra_rubrocapilla_CAM117	1	1	1	rubrocapilla	Inambari	Guajará-AM	-7.570556	-72.74444	CAM117	1
Ceratopipra_rubrocapilla_CAM039   	0	0	0	rubrocapilla	Inambari	Guajará-AM	-7.570556	-72.74444	CAM039   	1
