SampleID	HomAlt	Het	HomRef
Ceratopipra_rubrocapilla_AMANA034	3742.84	562.3	2689
Ceratopipra_rubrocapilla_AMANA137	7133	1059.03	5187.9
Ceratopipra_rubrocapilla_AMZ551	10482.5	1875.1	7003.89
Ceratopipra_rubrocapilla_AMZ610	8758.91	1403	6134.64
Ceratopipra_rubrocapilla_FPR006	15649.1	1802.8	11382.8
Ceratopipra_rubrocapilla_FPR015	13791.4	2039.8	9950.95
Ceratopipra_rubrocapilla_FPR021	15507.9	2284.77	11173.6
Ceratopipra_rubrocapilla_MAM010	15071.7	2133.79	10753.9
Ceratopipra_rubrocapilla_MAR092	13688.2	1928.98	9827.1
Ceratopipra_rubrocapilla_MPDS628	10741.1	1570.01	7781.62
Ceratopipra_rubrocapilla_OP100	15486.5	2268.49	11164.8
Ceratopipra_rubrocapilla_PIME024	15599.2	2206.69	11126.5
Ceratopipra_rubrocapilla_PIME079	12225.4	1750.91	8805.26
Ceratopipra_rubrocapilla_PIME460	15448.9	2226.37	11116
Ceratopipra_rubrocapilla_BR033	15588.8	2340.46	10822.3
Ceratopipra_rubrocapilla_BR036	15216.3	2226.99	10657.9
Ceratopipra_rubrocapilla_MF005	15832.4	2255.95	10878.4
Ceratopipra_rubrocapilla_MSF107	2351.15	352.4	1531.6
Ceratopipra_rubrocapilla_PIME062	15540.7	2251.3	11163.1
Ceratopipra_rubrocapilla_PIME134	15407.2	2239.35	10517.6
Ceratopipra_rubrocapilla_PIME135	15757.7	2311.75	10859
Ceratopipra_rubrocapilla_PIME169	14969.8	2190.14	10808.9
Ceratopipra_rubrocapilla_PIME482	14792.7	2127.83	10221.7
Ceratopipra_rubrocapilla_PIME521	5577.46	838.11	3786.81
Ceratopipra_rubrocapilla_PIME522	15443.3	2260	10727.7
Ceratopipra_rubrocapilla_PPS041	12659.8	1714.58	9053.22
Ceratopipra_rubrocapilla_PPS174	13425.4	1559.81	9366.02
Ceratopipra_rubrocapilla_PPS221	12940.2	1426.45	9272.89
Ceratopipra_rubrocapilla_PPS352	2670.83	372.65	1931.16
Ceratopipra_rubrocapilla_TLP025	14709.1	2057.32	10434.2
Ceratopipra_rubrocapilla_TLP123	15499.1	2116.25	11032.5
Ceratopipra_rubrocapilla_WM281	5866.96	911.75	4059.12
Ceratopipra_rubrocapilla_WM293	15172.9	2491.72	10318.1
Ceratopipra_rubrocapilla_GAPTO259	15764.9	2222.44	10265.9
Ceratopipra_rubrocapilla_GAPTO268	15908.9	2244.65	10390.4
Ceratopipra_rubrocapilla_GAPTO277	11400.1	1570.16	7406.21
Ceratopipra_rubrocapilla_GAPTO327	15966.1	2292.16	10449.9
Ceratopipra_rubrocapilla_MT087	15596.4	2092.64	11242.3
Ceratopipra_rubrocapilla_MT123	15639.5	2060.7	11226.9
Ceratopipra_rubrocapilla_PPBIO221	11198.7	1690.37	7464.31
Ceratopipra_rubrocapilla_PPBIO305	13867.1	2009.22	9260.73
Ceratopipra_rubrocapilla_RDO007	15552.6	2537.02	10137.8
Ceratopipra_rubrocapilla_UHE442	15081.8	2717.27	10230.1
Ceratopipra_rubrocapilla_CPE012	16309.5	2810.96	9586.52
Ceratopipra_rubrocapilla_CPE025	16415.7	2830.82	9565.59
Ceratopipra_rubrocapilla_CPE049	15787.9	2764.58	9254.35
Ceratopipra_rubrocapilla_CPE069	16536.5	2825.74	9535.05
Ceratopipra_rubrocapilla_CPEII008	16408.5	2794.95	9528
Ceratopipra_rubrocapilla_UNA002	16732.3	2718.13	9604.74
Ceratopipra_rubrocapilla_UNA018	16470.9	2833.27	9564.32
Ceratopipra_rubrocapilla_UNA088	15412	3045	9115.45
Ceratopipra_rubrocapilla_UNA110	16705.9	2828.56	9525.12
Ceratopipra_rubrocapilla_UNA124	16169.7	2820.6	9426
Ceratopipra_rubrocapilla_AMA340	14822.1	2454.87	11172.8
Ceratopipra_rubrocapilla_AMA601	14724.8	2334.22	11160.3
Ceratopipra_rubrocapilla_AMA656	11451.6	1789.35	8334.06
Ceratopipra_rubrocapilla_B4615	14292.1	2240.07	10797
Ceratopipra_rubrocapilla_B5082	13606	2136.18	10219
Ceratopipra_rubrocapilla_BR36440	1682.38	255.775	1149.33
Ceratopipra_rubrocapilla_CAM117	14963	2373.68	11408.2
Ceratopipra_rubrocapilla_CUJ027	14853.3	2303.38	11091.4
Ceratopipra_rubrocapilla_CUJ072	14295.6	2221.66	10714.8
Ceratopipra_rubrocapilla_OM022	15229.3	2370.06	11309.6
Ceratopipra_rubrocapilla_OM112	15474.8	2081.44	11390.6
Ceratopipra_rubrocapilla_OM172	15179.8	2354.81	11277.4
Ceratopipra_rubrocapilla_PUC008	15182.4	2306.22	11388.9
Ceratopipra_rubrocapilla_UFAC1007	9963.78	1598.17	7266.12
Ceratopipra_rubrocapilla_UFAC305	15224.3	2263.02	11348.6
Ceratopipra_rubrocapilla_UFAC476	12286.7	1932.22	9043.8
