branch	branch_descendants	Outgroup	Rondonia	InambariW	InambariE	Tapajos	RondoniaHeadwaters	XinguBelemN	TapajosHeadwaters	Headwaters	XinguBelemC	AtlanticForest_Ibateguara	AtlanticForest_Ilheus
b2	Rondonia,RondoniaHeadwaters,TapajosHeadwaters,Headwaters,Tapajos,XinguBelemN,XinguBelemC,AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	InambariW,InambariE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	RondoniaHeadwaters,TapajosHeadwaters,Headwaters,Tapajos,XinguBelemN,XinguBelemC,AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b5	Rondonia	nan	nan	0.385241	0.20602	nan	nan	nan	nan	nan	nan	nan	nan
b6	InambariW	nan	0	nan	nan	0	0	0	0	0	0	0	0
b7	InambariE	nan	0.733444	nan	nan	0.478592	0.0611119	0.0612152	0.0410523	0.0639801	0.101584	0.0863101	0.0745041
b8	Tapajos,XinguBelemN,XinguBelemC,AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b9	RondoniaHeadwaters,TapajosHeadwaters,Headwaters	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b10	XinguBelemN,XinguBelemC,AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	0	0	0	nan	0	nan	0	0	nan	nan	nan
b11	Tapajos	nan	0.222687	0.0838125	0.0925878	nan	0	nan	0	0.0401408	nan	nan	nan
b12	TapajosHeadwaters,Headwaters	nan	0	0	0	0	nan	0	nan	nan	0	0	0
b13	RondoniaHeadwaters	nan	0	0	0	0	nan	0	nan	nan	0	0	0
b14	XinguBelemC,AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	0	0	0	0	0	nan	0	0	nan	nan	nan
b15	XinguBelemN	nan	0	0	0	0	0	nan	0	0	nan	nan	nan
b16	TapajosHeadwaters	nan	0	0	0	0	0	0	nan	nan	0	0	0
b17	Headwaters	nan	0	0	0	0	0	0	nan	nan	0	0	0
b18	AtlanticForest_Ibateguara,AtlanticForest_Ilheus	nan	0	0	0	0	0	0	0	0	nan	nan	nan
b19	XinguBelemC	nan	0	0	0	0	0	0	0	0.0142205	nan	nan	nan
b20	AtlanticForest_Ibateguara	nan	0	0	0	0	0	0	0	0	0	nan	nan
b21	AtlanticForest_Ilheus	nan	0	0	0	0	0	0	0	0	0	nan	nan
