branch	branch_descendants	Outgroup	Rondonia	InambariW	InambariE	Tapajos	RondoniaHeadwaters	XinguBelemN	TapajosHeadwaters	Headwaters	AtlanticForest	XinguBelemC
b2	Rondonia,RondoniaHeadwaters,TapajosHeadwaters,Headwaters,Tapajos,XinguBelemN,AtlanticForest,XinguBelemC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	InambariW,InambariE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	RondoniaHeadwaters,TapajosHeadwaters,Headwaters,Tapajos,XinguBelemN,AtlanticForest,XinguBelemC	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
b5	Rondonia	nan	nan	0.381376	0.167934	nan	nan	nan	nan	nan	nan	nan
b6	InambariW	nan	0	nan	nan	0	0	0	0	0	0	0
b7	InambariE	nan	0.65073	nan	nan	0.445291	0.059711	0.0580765	0.0404679	0.0622954	0.102434	0.104119
b8	Tapajos,XinguBelemN,AtlanticForest,XinguBelemC	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan
b9	RondoniaHeadwaters,TapajosHeadwaters,Headwaters	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan
b10	XinguBelemN,AtlanticForest,XinguBelemC	nan	0	0	0	nan	0	nan	0	0	nan	nan
b11	Tapajos	nan	0	0	0.0945296	nan	0	nan	0	0.0381754	nan	nan
b12	TapajosHeadwaters,Headwaters	nan	0	0	0	0	nan	0	nan	nan	0	0
b13	RondoniaHeadwaters	nan	0	0	0	0	nan	0	nan	nan	0	0
b14	AtlanticForest,XinguBelemC	nan	0	0	0	0	0	nan	0	0	nan	nan
b15	XinguBelemN	nan	0	0	0	0	0	nan	0	0	nan	nan
b16	TapajosHeadwaters	nan	0	0	0	0	0	0	nan	nan	0	0
b17	Headwaters	nan	0	0	0	0	0	0	nan	nan	0	0
b18	AtlanticForest	nan	0	0	0	0	0	0	0	0	nan	nan
b19	XinguBelemC	nan	0	0	0	0	0	0	0	0.0281928	nan	nan
