P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
AtlanticForest	InambariE	Headwaters	0.0123926	2.42629	0.0152539	0.022047	771.508	812.124	792.242
InambariW	AtlanticForest	Headwaters	0.0230786	3.39818	0.00067835	0.0395323	743.17	823.933	786.761
Headwaters	Rondonia	AtlanticForest	0.00369458	0.676827	0.498516	0.0111671	808.219	776.392	770.676
Headwaters	RondoniaHeadwaters	AtlanticForest	0.0106324	1.70501	0.088193	0.0324527	874.416	785.839	769.304
Headwaters	AtlanticForest	Tapajos	0.0185228	3.24081	0.00119189	0.939467	759.816	824.22	794.242
Headwaters	TapajosHeadwaters	AtlanticForest	0.000692996	0.0922868	0.92647	0.00196584	811.909	666.959	666.035
AtlanticForest	XinguBelemC	Headwaters	0.0167076	2.86063	0.00422794	0.0281928	945.036	750.029	725.378
XinguBelemN	AtlanticForest	Headwaters	0.000548248	0.0690295	0.944966	0.000897782	865.305	740.196	739.385
AtlanticForest	InambariW	InambariE	0.0178498	3.17091	0.0015196	0.150923	738.445	827.498	798.475
AtlanticForest	InambariE	Rondonia	0.011006	2.62538	0.00865511	0.355788	757.458	801.301	783.854
AtlanticForest	InambariE	RondoniaHeadwaters	0.00662678	1.38724	0.165369	0.0109351	764.312	812.631	801.931
AtlanticForest	Tapajos	InambariE	0.0116898	4.10708	4.00698e-05	0.0945296	836.845	769.518	751.735
InambariE	AtlanticForest	TapajosHeadwaters	0.00221977	0.271648	0.785892	0.00295054	680.713	698.009	694.917
XinguBelemC	AtlanticForest	InambariE	0.00265365	0.555647	0.578452	0.0202404	965.796	725.63	721.789
XinguBelemN	AtlanticForest	InambariE	0.0068523	1.38196	0.166983	0.0496624	879.848	733.685	723.699
InambariW	AtlanticForest	Rondonia	0.0254997	5.7944	6.85671e-09	0.446118	730.593	817.018	776.387
AtlanticForest	RondoniaHeadwaters	InambariW	0.029579	4.39165	1.12496e-05	0.496875	836.485	784.364	739.295
AtlanticForest	Tapajos	InambariW	0.0118938	4.47264	7.72602e-06	0.189395	871.672	744.023	726.533
AtlanticForest	TapajosHeadwaters	InambariW	0.0171134	3.15197	0.00162173	0.262814	725.329	677.532	654.732
AtlanticForest	XinguBelemC	InambariW	0.00192906	0.402855	0.687055	0.0296181	999.706	702.245	699.541
AtlanticForest	XinguBelemN	InambariW	0.00450056	0.773756	0.439075	0.0677365	908.135	710.792	704.423
Rondonia	RondoniaHeadwaters	AtlanticForest	0.00718756	1.14993	0.250172	0.0224636	798.568	785.914	774.697
AtlanticForest	Tapajos	Rondonia	0.0113341	4.85353	1.21284e-06	0.370399	814.614	773.232	755.901
TapajosHeadwaters	Rondonia	AtlanticForest	0.00534685	0.768697	0.442073	0.0156482	698.366	681.555	674.305
AtlanticForest	XinguBelemC	Rondonia	0.00324489	0.711517	0.476764	0.0991078	940.9	731.859	727.125
AtlanticForest	XinguBelemN	Rondonia	0.000834672	0.157081	0.875181	0.02589	853.672	735.696	734.469
AtlanticForest	Tapajos	RondoniaHeadwaters	0.00203596	0.566613	0.570977	0.0034899	824.137	779.57	776.402
TapajosHeadwaters	RondoniaHeadwaters	AtlanticForest	0.0145455	1.95369	0.0507379	0.0428009	742.796	692.424	672.57
XinguBelemC	AtlanticForest	RondoniaHeadwaters	0.0113017	2.15321	0.0313018	0.0174678	952.154	750.091	733.326
XinguBelemN	AtlanticForest	RondoniaHeadwaters	0.0112187	1.46173	0.143815	0.0177328	861.325	751.884	735.201
AtlanticForest	Tapajos	TapajosHeadwaters	0.0189326	3.19333	0.00140642	0.0246445	728.73	693	667.247
AtlanticForest	XinguBelemC	Tapajos	0.00366272	0.740681	0.458887	1.28341	913.163	763.679	758.105
XinguBelemN	AtlanticForest	Tapajos	0.00471236	0.84262	0.399441	0.707577	831.142	768.425	761.217
AtlanticForest	XinguBelemC	TapajosHeadwaters	0.00166731	0.260522	0.794461	0.00200721	844.395	644.484	642.339
AtlanticForest	XinguBelemN	TapajosHeadwaters	0.00569071	0.573546	0.566275	0.00692533	762.455	651.836	644.459
XinguBelemC	AtlanticForest	XinguBelemN	0.00423122	0.830046	0.406513	0.0141182	873.255	781.453	774.868
InambariW	Headwaters	InambariE	0.00716209	1.03332	0.301455	0.0791909	772.398	829.453	817.656
Headwaters	Rondonia	InambariE	0.00196598	0.377854	0.705539	0.0259369	810.786	796.25	793.125
Headwaters	RondoniaHeadwaters	InambariE	0.00457489	0.639773	0.52232	0.0483262	874.635	796.68	789.424
InambariE	Tapajos	Headwaters	0.00900745	1.5211	0.128234	0.0163342	777.179	814.553	800.01
TapajosHeadwaters	Headwaters	InambariE	0.0143959	1.86325	0.0624277	0.123916	818.524	690.035	670.45
InambariE	XinguBelemC	Headwaters	0.00297338	0.42681	0.669518	0.00548767	757.551	806.716	801.933
XinguBelemN	InambariE	Headwaters	0.0129018	1.93114	0.0534656	0.0240576	747.563	798.267	777.931
