0.0309725,0.0187127,0.0180906,0.0164857,0.0147757,0.0248875,-0.0165708,0.0852706,0.030837,-0.0127718,0.00648795,0.0139272,0.0411729,0.0400314,0.023586,0.0362048,0.0269151,0.0543237,0.0369055,0.0161706	0.0210609,-0.0382902,0.027198,0.0106914,0.0230867,0.0234588,-0.0111882,0.051614,0.0264716,-0.0305657,0.013868,-0.00428146,0.00468231,0.0205574,0.0148764,0.0199784,0.0475953,0.0179637,0.0271225,-0.0143666	0.00991803,0.056962,-0.00911195,0.00579538,-0.00831388,0.00142959,-0.00538354,0.0338054,0.00436902,0.0178009,-0.00738067,0.0182076,0.0364977,0.0194901,0.00871267,0.0162381,-0.0207067,0.0363956,0.00979273,0.0305301
0.0127838,-0.00166486,0.0515428,0.0263403,-0.00381237,0.0271968,0.0139929,0.0784051,0.0247856,0.00240855,0.000685941,0.0444512,0.0416833,0.0436317,0.0352148,0.00472582,0.018002,0.0420994,0.0526516,0.0423824	-0.00599276,-0.065581,0.0244887,-0.0541686,-0.00155748,-0.003132,0.0171931,0.0234255,-0.0102807,-0.0502447,-0.0337362,-0.0317,-0.0261475,-0.0668097,-0.0174666,-0.0853704,-0.0251871,-0.0204334,0.00186075,-0.0220415	0.0187751,0.0639231,0.0270882,0.0803942,-0.0022549,0.0303262,-0.00320095,0.0550807,0.0350574,0.0526469,0.0344213,0.0760441,0.067757,0.11012,0.052649,0.0900598,0.0431695,0.0624791,0.0507958,0.0643638
0.0303395,0.0137938,0.0329324,0.0167293,-0.0175415,0.000715685,-0.00451575,0.0739604,0.03245,-0.0216273,0.00707265,0.0466596,0.0112943,0.0424309,0.00739127,0.0214192,0.0200319,0.0420761,0.0290201,0.0102723	0.0251299,-0.00789209,0.066095,0.00602974,0.0113289,0.0344124,0.00364098,0.0668269,0.0724425,-0.00381752,0.0288993,0.0247614,0.0188696,-0.000888389,0.0227271,-0.0222361,0.038374,0.0267012,0.0452928,0.0147884	0.00521364,0.0216836,-0.033235,0.0107007,-0.0288646,-0.0336976,-0.0081566,0.0071689,-0.0400867,-0.0178113,-0.0218312,0.0219235,-0.00757691,0.0433177,-0.0153384,0.0436346,-0.0183562,0.0153922,-0.0162941,-0.00451678
0.0190097,0.00168127,0.098706,0.0395807,0.0163156,0.0708175,-0.0041586,0.129074,0.0546282,0.00844229,0.022039,0.0606096,0.0364023,0.0677156,0.0588771,0.0629229,0.0932528,0.121897,0.0395201,0.041778	0.0121906,-0.0517001,0.114989,0.0332711,0.0633042,0.0791353,0.0402785,0.157659,0.0922531,0.0116586,0.0796303,0.0748936,-0.00223479,0.0928684,0.0692962,0.0547858,0.10961,0.10795,0.0737738,0.0484853	0.00682071,0.0533767,-0.0164703,0.00631797,-0.0470371,-0.00836467,-0.0444296,-0.0291783,-0.0378155,-0.00321662,-0.0576926,-0.0143492,0.038634,-0.025312,-0.0104618,0.00816523,-0.0165259,0.0141328,-0.0343538,-0.00672085
-0.0587651,0.0112176,0.0161861,-0.0176316,-0.0653347,-0.0443548,-0.0326727,0.0237033,-0.0251475,-0.0381151,-0.0389933,0.0136819,-0.0380091,-0.00724453,-0.0130705,-0.0019108,-0.0243782,0.00846464,-0.0100215,-0.0368101	0.0146584,0.0170019,0.072283,-0.00532935,0.00925336,0.0311246,0.0458935,0.0509369,0.0451477,0.0053431,0.0420861,0.0164912,0.00533569,-0.0163078,0.0305582,-0.0185814,0.0334006,0.0217643,0.0334012,0.00823014	-0.0733603,-0.00578542,-0.0561627,-0.0123034,-0.074543,-0.0753753,-0.0784486,-0.0272665,-0.0702155,-0.0434494,-0.0809465,-0.00280999,-0.043336,0.00906434,-0.0436113,0.0166712,-0.0577318,-0.0133021,-0.0434082,-0.0450266
0.0880225,0.077601,0.129969,0.0609608,0.0453149,0.106527,0.0384419,0.169187,0.0856899,0.0206713,0.0859366,0.139722,0.145556,0.100707,0.0551184,0.153086,0.109491,0.157072,0.113922,0.056223	0.116315,0.0576708,0.130005,0.0347574,0.088666,0.120144,0.0986473,0.15194,0.135344,0.0897611,0.0769113,0.110214,0.122042,0.0893358,0.00435076,0.117332,0.12488,0.142229,0.110766,0.0454767	-0.0285853,0.0200198,-3.60917e-05,0.026259,-0.043526,-0.0137928,-0.0604346,0.0177021,-0.0502373,-0.0692183,0.00908531,0.0299698,0.0239389,0.0114748,0.0507798,0.0364085,-0.0156025,0.0151821,0.00319663,0.0107738
-0.151559,-0.0757773,-0.118778,-0.106843,-0.203405,-0.142462,-0.131209,-0.0930924,-0.123373,-0.161783,-0.142263,-0.0703179,-0.119378,-0.0784518,-0.141826,-0.0770996,-0.114455,-0.0746598,-0.0576733,-0.136802	-0.0347332,0.00691176,0.0626798,0.00230438,-0.00600365,0.0356699,0.0111097,-0.00584158,0.0344049,-0.00446388,0.0508011,0.0276187,0.00867964,0.0137866,0.010469,-0.0181237,0.00743043,0.0279383,0.0706989,0.0175284	-0.117444,-0.0826458,-0.180117,-0.109121,-0.197643,-0.177231,-0.142111,-0.0872983,-0.157111,-0.157433,-0.191679,-0.0977468,-0.127925,-0.0921387,-0.152069,-0.0590584,-0.121782,-0.102385,-0.127851,-0.153962
-0.125368,-0.0792223,-0.064853,-0.0953809,-0.107307,-0.0736146,-0.114096,-0.0789115,-0.0967993,-0.0957479,-0.104559,-0.0539623,-0.0927681,-0.0832909,-0.0543295,0.00305162,-0.0415535,-0.0467662,-0.0554862,-0.12109	-0.0427599,-0.0316333,0.0391523,-0.0406264,0.0185353,0.0563478,-0.0139717,0.0120161,0.033716,-0.0439156,-0.0355676,0.0210758,-0.0367574,-0.0616358,0.0381621,-0.00516795,0.0339912,0.019072,0.0324877,-0.0116269	-0.0830536,-0.0477086,-0.103742,-0.0549674,-0.125593,-0.129425,-0.100284,-0.0908415,-0.130091,-0.0520511,-0.0692492,-0.0749528,-0.0562023,-0.0217668,-0.0923003,0.00821944,-0.0754382,-0.0657796,-0.0878156,-0.109617
0.0469549,0.00685972,0.0425678,0.0604851,0.0669062,0.0745054,0.0524062,0.061719,0.0464481,0.02503,0.0366391,0.0749646,0.0393834,0.0580936,0.0453522,0.0903927,0.0880376,0.0557559,0.0847579,0.0725463	0.0381693,-0.000820375,0.00683815,-0.0153924,0.0602342,0.0457262,0.0500549,0.0406439,0.0145491,-0.00927359,-0.00537196,0.0177324,0.00718836,-0.0361652,0.000759114,0.0111598,0.0215164,0.0291812,0.0435601,0.0394612	0.00880136,0.00768005,0.0357401,0.075807,0.00669901,0.0288776,0.00235748,0.0211281,0.0319205,0.0342956,0.0420028,0.0573084,0.0322042,0.0940612,0.0445947,0.0793129,0.0666474,0.0266179,0.0413504,0.03318
0.0389987,-0.0198135,0.0190697,0.0268787,0.0182158,0.00615507,0.00111573,0.0183125,0.00384933,-0.0270705,0.0103811,0.025011,-0.00967968,0.010301,0.00279095,0.0358091,0.0412149,-0.000709265,0.0296937,-0.00299806	0.043954,0.0163153,0.042651,0.0221074,0.0396969,0.0408784,0.00394118,0.0448378,0.0482234,0.00855238,0.0247443,0.0225807,0.035187,-0.015012,0.0271011,0.0077882,0.0388936,0.0206095,0.0557777,0.0322308	-0.00496387,-0.0361171,-0.0236005,0.00477413,-0.0214967,-0.0347321,-0.00282546,-0.0265471,-0.0443823,-0.0356146,-0.0143669,0.00243163,-0.0448514,0.0253091,-0.024312,0.0280287,0.00232506,-0.0213184,-0.0261272,-0.0352254
