P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
InambariW	InambariE	Rondonia	0.0366396	7.77008	7.84E-15	0.65073	806.774	821.593	763.515
InambariW	InambariE	Tapajos	0.0388014	7.49026	6.87E-14	0.445291	818.717	807.477	747.155
InambariW	InambariE	XinguBelemC	0.0348983	5.77385	7.75E-09	0.104119	825.28	792.574	739.12
InambariW	InambariE	XinguBelemN	0.0273514	4.8445	1.27E-06	0.0580765	813.25	773.628	732.436
InambariW	InambariE	AtlanticForest	0.0390581	6.90183	5.13E-12	0.102434	827.498	798.475	738.445
									
									
Tapajos	Rondonia	InambariE	0.0167038	5.75058	8.89E-09	0.163068	792.947	793.062	767.003
XinguBelemC	Rondonia	InambariE	0.030611	5.52926	3.22E-08	0.247629	786.841	799.359	751.875
XinguBelemN	Rondonia	InambariE	0.0354693	7.5993	2.98E-14	0.272871	773.907	789.844	735.733
AtlanticForest	Rondonia	InambariE	0.0281263	7.1342	9.74E-13	0.218518	783.854	801.301	757.458
Tapajos	Rondonia	InambariW	0.0187551	6.73545	1.63E-11	0.381376	826.665	768.702	740.399
XinguBelemC	Rondonia	InambariW	0.0285988	6.63982	3.14E-11	0.481393	818.055	772.597	729.635
XinguBelemN	Rondonia	InambariW	0.0266014	5.85367	4.81E-09	0.501723	799.654	759.656	720.287
AtlanticForest	Rondonia	InambariW	0.0303878	8.93543	4.34E-19	0.490492	817.018	776.387	730.593
									
									
XinguBelemC	Tapajos	InambariW	0.0100342	1.87678	0.0605479	0.165319	872.653	739.367	724.677
XinguBelemN	Tapajos	InambariW	0.00691732	1.21451	0.224552	0.124622	846.799	729.404	719.383
AtlanticForest	Tapajos	InambariW	0.0118938	4.47264	7.73E-06	0.189395	871.672	744.023	726.533
XinguBelemC	Tapajos	InambariE	0.0142336	2.42823	0.0151725	0.114519	839.26	766.244	744.738
XinguBelemN	Tapajos	InambariE	0.0174312	3.68019	0.000233061	0.12899	818.994	758.769	732.77
AtlanticForest	Tapajos	InambariE	0.0116898	4.10708	4.01E-05	0.0945296	836.845	769.518	751.735
XinguBelemC	Tapajos	Rondonia	0.00820553	1.55301	0.120421	0.282289	815.654	768.609	756.098
XinguBelemN	Tapajos	Rondonia	0.00971824	1.73495	0.0827491	0.328504	793.545	760.127	745.495
AtlanticForest	Tapajos	Rondonia	0.0113341	4.85353	1.21E-06	0.370399	814.614	773.232	755.901
									
XinguBelemN	XinguBelemC	InambariE	0.00430366	0.620709	0.534791	0.0338481	873.752	730.336	724.077
XinguBelemN	AtlanticForest	InambariE	0.0068523	1.38196	0.166983	0.0496624	879.848	733.685	723.699
XinguBelemC	AtlanticForest	InambariE	0.00265365	0.555647	0.578452	0.0202404	965.796	725.63	721.789
XinguBelemC	XinguBelemN	InambariW	0.00250303	0.388853	0.697385	0.0385008	899.288	708.519	704.981
AtlanticForest	XinguBelemN	InambariW	0.00450056	0.773756	0.439075	0.0677365	908.135	710.792	704.423
AtlanticForest	XinguBelemC	InambariW	0.00192906	0.402855	0.687055	0.0296181	999.706	702.245	699.541
XinguBelemN	XinguBelemC	Rondonia	0.00272908	0.370848	0.710751	0.0969959	844.989	737.523	733.508
AtlanticForest	XinguBelemN	Rondonia	0.000834672	0.157081	0.875181	0.02589	853.672	735.696	734.469
AtlanticForest	XinguBelemC	Rondonia	0.00324489	0.711517	0.476764	0.0991078	940.9	731.859	727.125
XinguBelemN	XinguBelemC	Tapajos	0.0086726	1.22696	0.219838	1.28613	821.771	771.686	758.416
XinguBelemN	AtlanticForest	Tapajos	0.00471236	0.84262	0.399441	0.707577	831.142	768.425	761.217
AtlanticForest	XinguBelemC	Tapajos	0.00366272	0.740681	0.458887	1.28341	913.163	763.679	758.105
									
