P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	Headwaters	0.00128635	0.17233	0.863178	0.00206786	1099.92	706.15	704.336
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	InambariE	0.00138927	0.304432	0.760799	0.00997989	1110.34	696.726	694.793
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	InambariW	0.00287999	0.60714	0.543758	0.0381599	1147.5	674.605	670.73
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	Rondonia	0.00546707	1.05665	0.290673	0.175249	1088.03	703.451	695.801
AtlanticForest_Ilheus	AtlanticForest_Ibateguara	RondoniaHeadwaters	0.00315592	0.514295	0.607046	0.00455716	1090.18	715.98	711.476
AtlanticForest_Ilheus	AtlanticForest_Ibateguara	Tapajos	0.0010234	0.232905	0.815835	0	1059.61	730.757	729.262
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	TapajosHeadwaters	0.00786246	1.04825	0.294523	0.0092022	980.577	623.588	613.859
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	XinguBelemC	3.54447e-05	0.00590231	0.995291	0.000227209	984.231	810.173	810.115
AtlanticForest_Ilheus	AtlanticForest_Ibateguara	XinguBelemN	0.00282116	0.476945	0.633402	0.00971947	1013.98	752.832	748.596
InambariE	Headwaters	AtlanticForest_Ibateguara	0.0127484	2.54821	0.0108277	0.0307366	813.997	792.522	772.569
InambariW	AtlanticForest_Ibateguara	Headwaters	0.0220498	3.05459	0.00225371	0.0395547	743.432	824.59	789.011
Headwaters	Rondonia	AtlanticForest_Ibateguara	0.00221675	0.425589	0.670408	0.0055318	811.358	775.653	772.222
Headwaters	RondoniaHeadwaters	AtlanticForest_Ibateguara	0.0133302	1.822	0.0684545	0.0329403	875.863	789.869	769.088
Headwaters	AtlanticForest_Ibateguara	Tapajos	0.0189305	3.45423	0.000551857	0.98735	760.67	827.434	796.688
TapajosHeadwaters	Headwaters	AtlanticForest_Ibateguara	0.00107034	0.129308	0.897114	0.0025112	815.583	667.366	665.939
AtlanticForest_Ibateguara	XinguBelemC	Headwaters	0.0177565	3.01413	0.00257714	0.0284409	948.276	753.037	726.761
AtlanticForest_Ibateguara	XinguBelemN	Headwaters	0.00101506	0.13266	0.894463	0.00170456	869.792	741.573	740.069
AtlanticForest_Ibateguara	InambariW	InambariE	0.018325	2.88512	0.0039126	0.15975	738.082	829.145	799.304
AtlanticForest_Ibateguara	InambariE	Rondonia	0.0134519	3.06949	0.00214425	0.482414	759.025	803.685	782.35
AtlanticForest_Ibateguara	InambariE	RondoniaHeadwaters	0.00502161	0.986455	0.32391	0.0080059	764.68	813.747	805.615
AtlanticForest_Ibateguara	Tapajos	InambariE	0.0122191	3.13822	0.00169976	0.107391	838.53	770.45	751.848
AtlanticForest_Ibateguara	InambariE	TapajosHeadwaters	0.00117435	0.134525	0.892987	0.0015787	682.571	697.72	696.083
XinguBelemC	AtlanticForest_Ibateguara	InambariE	0.00202288	0.427158	0.669264	0.015113	967.524	726.195	723.263
XinguBelemN	AtlanticForest_Ibateguara	InambariE	0.00551967	1.0968	0.272727	0.0437462	882.396	731.995	723.959
InambariW	AtlanticForest_Ibateguara	Rondonia	0.0230281	4.32584	1.51953e-05	0.469391	731.596	816.143	779.401
AtlanticForest_Ibateguara	RondoniaHeadwaters	InambariW	0.0308428	4.89339	9.91159e-07	0.46987	839.847	785.158	738.174
AtlanticForest_Ibateguara	Tapajos	InambariW	0.013253	4.36601	1.26535e-05	0.1935	873.902	745.499	725.998
AtlanticForest_Ibateguara	TapajosHeadwaters	InambariW	0.0184133	3.13676	0.00170828	0.273211	723.353	680.285	655.685
AtlanticForest_Ibateguara	XinguBelemC	InambariW	0.00339188	0.707142	0.479478	0.0482707	1002.25	704.536	699.772
AtlanticForest_Ibateguara	XinguBelemN	InambariW	0.00612737	1.17002	0.241994	0.0882711	911.123	711.492	702.826
AtlanticForest_Ibateguara	Rondonia	RondoniaHeadwaters	0.00633674	1.22062	0.222228	0.0107649	773.215	800.905	790.819
AtlanticForest_Ibateguara	Tapajos	Rondonia	0.0138645	4.33983	1.42591e-05	0.498119	818.025	775.888	754.668
TapajosHeadwaters	Rondonia	AtlanticForest_Ibateguara	0.00621014	0.74911	0.453791	0.0146874	702.227	681.854	673.437
AtlanticForest_Ibateguara	XinguBelemC	Rondonia	0.00592585	1.34468	0.178727	0.205349	944.314	735.019	726.359
AtlanticForest_Ibateguara	XinguBelemN	Rondonia	0.00370332	0.738095	0.460457	0.127516	857.746	737.482	732.04
AtlanticForest_Ibateguara	Tapajos	RondoniaHeadwaters	0.000384891	0.0829711	0.933875	0.000640551	825.561	780.2	779.6
TapajosHeadwaters	RondoniaHeadwaters	AtlanticForest_Ibateguara	0.019886	2.42672	0.0152362	0.0486713	744.788	697.107	669.922
XinguBelemC	AtlanticForest_Ibateguara	RondoniaHeadwaters	0.0129598	2.32211	0.0202272	0.0194889	953.445	753.562	734.279
XinguBelemN	AtlanticForest_Ibateguara	RondoniaHeadwaters	0.0128396	1.61458	0.106402	0.0201577	863.516	754.111	734.992
AtlanticForest_Ibateguara	Tapajos	TapajosHeadwaters	0.0224059	3.38907	0.000701296	0.0279008	731.522	695.457	664.975
AtlanticForest_Ibateguara	XinguBelemC	Tapajos	0.00317508	0.599907	0.548568	0	915.618	765.879	761.031
XinguBelemN	AtlanticForest_Ibateguara	Tapajos	0.00455411	0.8987	0.368813	1.18147	833.94	768.696	761.726
AtlanticForest_Ibateguara	XinguBelemC	TapajosHeadwaters	0.0053284	0.795143	0.42653	0.00637635	847.211	648.028	641.159
AtlanticForest_Ibateguara	XinguBelemN	TapajosHeadwaters	0.00974462	0.952841	0.34067	0.0115816	765.735	653.16	640.553
XinguBelemC	AtlanticForest_Ibateguara	XinguBelemN	0.00565244	0.969818	0.332137	0.0178938	874.864	785.376	776.547
AtlanticForest_Ilheus	InambariE	Headwaters	0.0122703	1.84635	0.0648412	0.0219905	771.485	810.991	791.33
InambariW	AtlanticForest_Ilheus	Headwaters	0.0232504	3.00485	0.00265711	0.0416053	743.71	822.853	785.459
Headwaters	Rondonia	AtlanticForest_Ilheus	0.00597754	0.898455	0.368943	0.0131988	806.024	777.947	768.702
Headwaters	RondoniaHeadwaters	AtlanticForest_Ilheus	0.00922098	1.50302	0.132834	0.0203846	873.468	782.936	768.629
Headwaters	AtlanticForest_Ilheus	Tapajos	0.0180997	2.71778	0.00657214	0.971263	758.49	821.941	792.716
Headwaters	TapajosHeadwaters	AtlanticForest_Ilheus	0.00343136	0.381014	0.703193	0.00714476	808.926	668.933	664.358
AtlanticForest_Ilheus	XinguBelemC	Headwaters	0.0166862	2.15404	0.031237	0.0277008	943.157	747.808	723.261
XinguBelemN	AtlanticForest_Ilheus	Headwaters	0.00113391	0.118716	0.9055	0.00190386	862.066	739.799	738.123
AtlanticForest_Ilheus	InambariW	InambariE	0.0171814	3.24499	0.00117454	0.147995	738.925	826.114	798.206
AtlanticForest_Ilheus	InambariE	Rondonia	0.00863614	1.64732	0.0994932	0.403747	756.451	799.178	785.492
AtlanticForest_Ilheus	InambariE	RondoniaHeadwaters	0.00784657	1.33276	0.182611	0.0132213	764.234	811.558	798.921
AtlanticForest_Ilheus	Tapajos	InambariE	0.0109728	3.73587	0.000187065	0.0777846	835.475	768.893	752.202
