0.0464787,-0.0110669,-0.0295334,0.0212666,0.0407966,0.0569118,-0.00284092,-0.00681793,0.0314173,0.0401159,-0.00717074,0.0278241,0.0251039,0.0227504,-0.0468818,-0.010369,-0.0604254,-0.0108381,-0.035859,-0.0294391	-0.264906,-0.199639,-0.24906,-0.196671,-0.264737,-0.24171,-0.267111,-0.215664,-0.223059,-0.209153,-0.266269,-0.179228,-0.214964,-0.181314,-0.229942,-0.142692,-0.225601,-0.178136,-0.201283,-0.220961	0.307598,0.18899,0.221153,0.21703,0.302269,0.29457,0.264471,0.209153,0.252705,0.247195,0.259593,0.206024,0.23878,0.203227,0.185055,0.132519,0.167458,0.167622,0.166627,0.192776
0.0227727,0.0036384,-0.00481123,0.0284286,0.0431599,0.0162584,0.00565244,0.0253219,-0.00903118,0.0130643,0.0134961,-0.0134394,0.0216308,-0.0301496,-0.0200205,-0.0275978,-0.0146816,0.00791084,-0.0158661,-0.0141147	-0.283958,-0.23735,-0.229589,-0.196787,-0.268543,-0.256232,-0.261767,-0.226701,-0.250086,-0.239146,-0.251745,-0.207645,-0.247412,-0.227924,-0.227697,-0.166995,-0.189924,-0.197385,-0.195415,-0.23091	0.30476,0.24078,0.225027,0.223962,0.308131,0.27136,0.267024,0.250584,0.2416,0.251424,0.264343,0.194749,0.26761,0.199143,0.208627,0.140042,0.175732,0.204976,0.180107,0.217505
0.0330322,0.0023772,0.0231488,0.0163727,0.0333321,0.0172927,0.00396022,0.0102604,0.0101136,0.0318167,0.00904748,-0.0078363,0.0236428,-0.0236519,-0.0170663,-0.00424634,-0.0244783,0.0091159,-0.0249651,-0.0383576	-0.284735,-0.244527,-0.247967,-0.266034,-0.276939,-0.282011,-0.261561,-0.253481,-0.263136,-0.261726,-0.286312,-0.257863,-0.269057,-0.28916,-0.261538,-0.218665,-0.243996,-0.223239,-0.234432,-0.27471	0.314806,0.24676,0.269568,0.281182,0.307433,0.297851,0.265246,0.263057,0.272525,0.291118,0.294596,0.250533,0.29085,0.267336,0.245568,0.214617,0.220837,0.231883,0.2107,0.238869
0.0351638,0.01176,0.0111257,0.0139093,0.0478514,0.0357313,0.0149217,0.0102335,0.0185409,0.0369842,0.00091877,-0.0261997,0.0282896,-0.0201886,-0.032883,0.000481717,-0.0135252,0.00190875,-0.0186828,-0.0179153	-0.277249,-0.203256,-0.204763,-0.212895,-0.250433,-0.224393,-0.253036,-0.216249,-0.201689,-0.199686,-0.249497,-0.220943,-0.208023,-0.235593,-0.216257,-0.176166,-0.188476,-0.186034,-0.176762,-0.210698	0.309397,0.214503,0.215398,0.226135,0.294752,0.258055,0.26695,0.225983,0.219409,0.234935,0.250358,0.195877,0.23493,0.216434,0.184687,0.176632,0.175398,0.187876,0.158603,0.193513
0.0589533,0.00254969,-0.00213009,0.00338055,0.0366614,0.0154789,0.000723157,-0.0220683,0.00668545,0.0204781,-0.0195257,-0.0100997,0.0411209,-0.0249592,-0.00251789,-0.00387796,-0.0304862,-0.0374052,-0.0560206,-0.00561675	-0.258567,-0.231068,-0.216082,-0.20589,-0.238466,-0.255208,-0.22662,-0.200241,-0.20443,-0.217329,-0.236054,-0.182717,-0.235036,-0.178737,-0.199988,-0.144569,-0.197579,-0.206279,-0.178105,-0.202278	0.312753,0.23348,0.214051,0.209125,0.272743,0.269622,0.227306,0.178963,0.210828,0.236754,0.217531,0.172936,0.273513,0.154467,0.197569,0.14077,0.168105,0.170187,0.123315,0.196885
0.0131504,0.0103702,0.00800042,0.0237936,0.0113856,0.0247661,-0.00360398,0.0146867,0.000481675,0.00799921,0.0189602,-0.034168,0.0226626,-0.0106329,-0.0426762,-0.0102628,-0.0211272,0.00192278,-0.0248617,-0.0155966	-0.220738,-0.182515,-0.185116,-0.185989,-0.223622,-0.195504,-0.20034,-0.181546,-0.182341,-0.189102,-0.190446,-0.205417,-0.177886,-0.199227,-0.19439,-0.155629,-0.153399,-0.161233,-0.156102,-0.173657	0.233211,0.192521,0.192831,0.208858,0.234411,0.219209,0.196879,0.195711,0.182806,0.196803,0.208652,0.172459,0.199743,0.188994,0.152983,0.145599,0.132702,0.163106,0.131752,0.15849
0.0200229,-0.00984144,0.0449441,0.00856006,0.0524888,0.0251122,-0.0228461,0.0147563,0.0521266,0.0561035,0.0367702,-0.0586575,0.0320439,-0.0262642,-0.0022864,0.00561697,0.00163137,-0.0590701,-0.0105997,0.00635601	-0.280392,-0.219991,-0.216142,-0.235135,-0.242992,-0.261773,-0.248267,-0.224061,-0.189122,-0.154498,-0.249048,-0.251825,-0.236822,-0.221557,-0.260475,-0.159417,-0.183986,-0.211298,-0.20742,-0.211263	0.298738,0.210606,0.258574,0.243206,0.291759,0.285012,0.226706,0.23803,0.238894,0.208792,0.283225,0.196064,0.266841,0.196436,0.258343,0.164886,0.185562,0.154152,0.197254,0.217327
0.0213679,-0.000791649,0.0121226,0.0159853,0.025265,0.0530987,0.0219317,-0.0358698,-0.0125461,-0.0124976,0.00974567,-0.0225291,0.039215,0.00396305,-0.0113636,0.0142072,-0.0164002,-0.0440932,-0.0503451,0.00949471	-0.168662,-0.112943,-0.0666337,-0.0960714,-0.0928158,-0.080561,-0.124023,-0.148769,-0.0987611,-0.0863491,-0.0896259,-0.109553,-0.0876227,-0.100971,-0.0724249,-0.0721482,-0.0875257,-0.100574,-0.0918189,-0.0619008	0.189348,0.112161,0.0786928,0.111885,0.117805,0.13309,0.145559,0.113505,0.086322,0.0739313,0.0992849,0.0872393,0.126403,0.104892,0.0611116,0.086267,0.0712278,0.0567322,0.0416664,0.0713536
0.00495402,0.0052936,0.0225374,0.000831414,0.0392068,0.0220618,-0.025318,0.0127537,0.0226424,0.00790533,0.0207444,-0.0422374,0.0365262,0.0124755,-0.0304951,-0.00498266,-0.0316719,-0.0350261,-0.0461646,-0.0186235	-0.210775,-0.147021,-0.136594,-0.150943,-0.167422,-0.141441,-0.189376,-0.127739,-0.105284,-0.179372,-0.190668,-0.144874,-0.161445,-0.163089,-0.137208,-0.151507,-0.141577,-0.137878,-0.119325,-0.122417	0.215504,0.152197,0.158643,0.151755,0.205281,0.162994,0.164848,0.140264,0.127622,0.187012,0.210579,0.103269,0.19681,0.175208,0.107162,0.146635,0.1104,0.103351,0.0735653,0.104031
0.0404888,0.0198575,0.0164586,0.0295956,0.0308035,0.0297839,-0.0135322,0.0956464,0.0274806,-0.0073252,0.0125013,0.00676192,0.0495791,0.0281842,0.0140169,0.0258981,0.0207935,0.0583785,0.0297295,0.00905081	0.042301,-0.0441064,0.0150617,0.0209362,0.0397731,0.0473957,-0.0126217,0.0477386,0.0419389,-0.0133876,0.0100833,0.00874153,0.0162387,0.033699,-0.00661971,0.017815,0.0204762,0.0136149,0.0129385,-0.0274464	-0.00181529,0.0639079,0.00139722,0.00866482,-0.00898057,-0.0176367,-0.000910619,0.0481276,-0.014475,0.00606304,0.0024183,-0.00197973,0.0333673,-0.00552002,0.0206347,0.00808688,0.000317371,0.0447991,0.0167974,0.0364881
