pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	3000001	3500000	0.0010463378176382662	446	21	20070	0
AtlanticForest_Ibateguara	chr_Z	3500001	4000000	0.002308998302207131	348	34	14725	110
AtlanticForest_Ibateguara	chr_Z	4000001	4500000	0.0	182	0	6830	160
AtlanticForest_Ibateguara	chr_Z	4500001	5000000	0.0020291459140380002	551	44	21684	366
AtlanticForest_Ibateguara	chr_Z	5000001	5500000	0.0	317	0	12820	170
AtlanticForest_Ibateguara	chr_Z	5500001	6000000	0.0	581	0	26145	0
AtlanticForest_Ibateguara	chr_Z	6000001	6500000	0.0016196260569250923	933	68	41985	0
AtlanticForest_Ibateguara	chr_Z	6500001	7000000	0.0024278392230914487	1482	153	63019	486
AtlanticForest_Ibateguara	chr_Z	7000001	7500000	0.001922957632901185	1829	155	80605	200
AtlanticForest_Ibateguara	chr_Z	7500001	8000000	0.001164284567207323	1172	58	49816	344
AtlanticForest_Ibateguara	chr_Z	8000001	8500000	0.001455354849756014	1347	85	58405	260
AtlanticForest_Ibateguara	chr_Z	8500001	9000000	0.0	225	0	10125	0
AtlanticForest_Ibateguara	chr_Z	9000001	9500000	0.0015820732940840833	898	61	38557	218
AtlanticForest_Ibateguara	chr_Z	9500001	10000000	0.0025815665165330112	882	94	36412	396
AtlanticForest_Ibateguara	chr_Z	10000001	10500000	0.002680965147453083	627	73	27229	116
AtlanticForest_Ibateguara	chr_Z	10500001	11000000	0.006401249024199844	165	41	6405	120
AtlanticForest_Ibateguara	chr_Z	11000001	11500000	0.0016629942210950818	550	40	24053	82
AtlanticForest_Ibateguara	chr_Z	11500001	12000000	0.0020507871403582846	413	34	16579	236
AtlanticForest_Ibateguara	chr_Z	12000001	12500000	0.001756440281030445	714	51	29036	364
AtlanticForest_Ibateguara	chr_Z	12500001	13000000	0.0009415641734831989	395	16	16993	92
AtlanticForest_Ibateguara	chr_Z	13000001	13500000	0.0	170	0	6885	90
AtlanticForest_Ibateguara	chr_Z	13500001	14000000	0.0	422	0	18990	0
AtlanticForest_Ibateguara	chr_Z	14000001	14500000	0.00424196641292347	444	73	17209	326
AtlanticForest_Ibateguara	chr_Z	14500001	15000000	0.0010860907971906452	940	45	41433	102
AtlanticForest_Ibateguara	chr_Z	15000001	15500000	0.00024225458264918846	849	9	37151	124
AtlanticForest_Ibateguara	chr_Z	15500001	16000000	0.0010995340070160742	452	21	19099	146
AtlanticForest_Ibateguara	chr_Z	16000001	16500000	0.0020087884494664155	531	48	23895	0
AtlanticForest_Ibateguara	chr_Z	16500001	17000000	0.0023679417122040073	854	91	38430	0
AtlanticForest_Ibateguara	chr_Z	17000001	17500000	0.006261348694508798	384	100	15971	154
AtlanticForest_Ibateguara	chr_Z	17500001	18000000	0.0013468013468013469	264	16	11880	0
AtlanticForest_Ibateguara	chr_Z	18000001	18500000	0.0009328720799160415	611	24	25727	208
AtlanticForest_Ibateguara	chr_Z	18500001	19000000	0.0003074295473953886	677	9	29275	140
AtlanticForest_Ibateguara	chr_Z	19000001	19500000	0.0006593619703287114	1178	34	51565	170
AtlanticForest_Ibateguara	chr_Z	19500001	20000000	0.0017418516769012755	775	59	33872	118
AtlanticForest_Ibateguara	chr_Z	20000001	20500000	0.001292929292929293	550	32	24750	0
AtlanticForest_Ibateguara	chr_Z	20500001	21000000	0.004144144144144144	988	161	38850	660
AtlanticForest_Ibateguara	chr_Z	21000001	21500000	0.0	491	0	20701	164
AtlanticForest_Ibateguara	chr_Z	21500001	22000000	0.0	256	0	11520	0
AtlanticForest_Ibateguara	chr_Z	22000001	22500000	0.0019858156028368795	470	42	21150	0
AtlanticForest_Ibateguara	chr_Z	22500001	23000000	0.0003653190452995616	620	9	24636	384
AtlanticForest_Ibateguara	chr_Z	23000001	23500000	0.0019806594430851684	403	34	17166	114
AtlanticForest_Ibateguara	chr_Z	23500001	24000000	0.0013168724279835392	405	24	18225	0
AtlanticForest_Ibateguara	chr_Z	24000001	24500000	0.0	223	0	9151	104
AtlanticForest_Ibateguara	chr_Z	24500001	25000000	0.0004347826086956522	460	9	20700	0
AtlanticForest_Ibateguara	chr_Z	25000001	25500000	0.0011306805827353773	1022	52	45990	0
AtlanticForest_Ibateguara	chr_Z	25500001	26000000	0.002129056648825039	1192	107	50257	398
AtlanticForest_Ibateguara	chr_Z	26000001	26500000	0.0	413	0	18585	0
AtlanticForest_Ibateguara	chr_Z	26500001	27000000	0.0008646031471554556	669	25	28915	140
AtlanticForest_Ibateguara	chr_Z	27000001	27500000	0.0013391726084910783	617	37	27629	16
AtlanticForest_Ibateguara	chr_Z	27500001	28000000	0.0	232	0	10440	0
AtlanticForest_Ibateguara	chr_Z	28000001	28500000	0.0	171	0	6488	142
AtlanticForest_Ibateguara	chr_Z	28500001	29000000	0.0	79	0	3555	0
AtlanticForest_Ibateguara	chr_Z	29000001	29500000	0.0007936507936507937	252	9	11340	0
AtlanticForest_Ibateguara	chr_Z	29500001	30000000	0.000767590618336887	574	18	23450	280
AtlanticForest_Ibateguara	chr_Z	30000001	30500000	0.0	315	0	12951	144
AtlanticForest_Ibateguara	chr_Z	30500001	31000000	0.004205170802616551	456	81	19262	148
AtlanticForest_Ibateguara	chr_Z	31000001	31500000	0.008389112003569834	249	94	11205	0
AtlanticForest_Ibateguara	chr_Z	31500001	32000000	0.0014687283260576883	604	36	24511	314
AtlanticForest_Ibateguara	chr_Z	32000001	32500000	0.0010366051182377713	343	16	15435	0
AtlanticForest_Ibateguara	chr_Z	32500001	33000000	0.0008134490238611713	599	21	25816	134
AtlanticForest_Ibateguara	chr_Z	33000001	33500000	0.0008535627710061798	703	25	29289	276
AtlanticForest_Ibateguara	chr_Z	33500001	34000000	0.0	614	0	26814	96
AtlanticForest_Ibateguara	chr_Z	34000001	34500000	0.0	595	0	26775	0
AtlanticForest_Ibateguara	chr_Z	34500001	35000000	0.0019975031210986267	178	16	8010	0
AtlanticForest_Ibateguara	chr_Z	35000001	35500000	0.0	106	0	4770	0
AtlanticForest_Ibateguara	chr_Z	35500001	36000000	0.002331667856293124	467	49	21015	0
AtlanticForest_Ibateguara	chr_Z	36000001	36500000	0.0	539	0	24255	0
AtlanticForest_Ibateguara	chr_Z	36500001	37000000	0.001855046050704592	758	57	30727	398
AtlanticForest_Ibateguara	chr_Z	37000001	37500000	0.0009224737671522466	625	24	26017	248
AtlanticForest_Ibateguara	chr_Z	37500001	38000000	0.0	735	0	31052	238
AtlanticForest_Ibateguara	chr_Z	38000001	38500000	0.000749063670411985	534	18	24030	0
AtlanticForest_Ibateguara	chr_Z	38500001	39000000	0.0006106870229007634	655	18	29475	0
AtlanticForest_Ibateguara	chr_Z	39000001	39500000	0.0011494252873563218	464	24	20880	0
AtlanticForest_Ibateguara	chr_Z	39500001	40000000	0.0008415147265077139	581	21	24955	140
AtlanticForest_Ibateguara	chr_Z	40000001	40500000	0.0004637740904874781	483	9	19406	274
AtlanticForest_Ibateguara	chr_Z	40500001	41000000	0.0	213	0	8344	146
AtlanticForest_Ibateguara	chr_Z	41000001	41500000	0.0	549	0	23056	194
AtlanticForest_Ibateguara	chr_Z	41500001	42000000	0.0022311468094600626	249	25	11205	0
AtlanticForest_Ibateguara	chr_Z	42000001	42500000	0.0009290399301361972	1216	50	53819	106
AtlanticForest_Ibateguara	chr_Z	42500001	43000000	0.0009322091987113578	1621	68	72945	0
AtlanticForest_Ibateguara	chr_Z	43000001	43500000	0.0006714789323484975	1222	36	53613	162
AtlanticForest_Ibateguara	chr_Z	43500001	44000000	0.000695440518103186	526	16	23007	78
AtlanticForest_Ibateguara	chr_Z	44000001	44500000	0.0	55	0	2475	0
AtlanticForest_Ibateguara	chr_Z	44500001	45000000	0.002811244979919679	166	21	7470	0
AtlanticForest_Ibateguara	chr_Z	45000001	45500000	0.0	282	0	12690	0
AtlanticForest_Ibateguara	chr_Z	45500001	46000000	0.0	255	0	10234	146
AtlanticForest_Ibateguara	chr_Z	46000001	46500000	0.001856410670325679	1155	92	49558	314
AtlanticForest_Ibateguara	chr_Z	46500001	47000000	0.0022564102564102562	325	33	14625	0
AtlanticForest_Ibateguara	chr_Z	47000001	47500000	0.0016895316618233426	367	25	14797	228
AtlanticForest_Ibateguara	chr_Z	47500001	48000000	0.0015153811183512653	483	30	19797	228
AtlanticForest_Ibateguara	chr_Z	48000001	48500000	0.003010752688172043	155	21	6975	0
AtlanticForest_Ibateguara	chr_Z	48500001	49000000	0.004880360104240701	469	103	21105	0
AtlanticForest_Ibateguara	chr_Z	49000001	49500000	0.004860923575479341	470	90	18515	310
AtlanticForest_Ibateguara	chr_Z	49500001	50000000	0.0013627618640444635	914	51	37424	436
AtlanticForest_Ibateguara	chr_Z	50000001	50500000	0.0028749080698000935	417	43	14957	448
AtlanticForest_Ibateguara	chr_Z	50500001	51000000	0.00048426150121065375	413	9	18585	0
AtlanticForest_Ibateguara	chr_Z	51000001	51500000	0.00150519978106185	812	55	36540	0
AtlanticForest_Ibateguara	chr_Z	51500001	52000000	0.0	537	0	21564	306
AtlanticForest_Ibateguara	chr_Z	52000001	52500000	0.0017437425073564138	668	48	27527	298
AtlanticForest_Ibateguara	chr_Z	52500001	53000000	0.0023517265114144773	415	41	17434	146
AtlanticForest_Ibateguara	chr_Z	53000001	53500000	0.0030522503879979305	456	59	19330	140
AtlanticForest_Ibateguara	chr_Z	53500001	54000000	0.0036529680365296802	146	24	6570	0
AtlanticForest_Ibateguara	chr_Z	54000001	54500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	54500001	55000000	0.004010840108401084	410	74	18450	0
AtlanticForest_Ibateguara	chr_Z	55000001	55500000	0.0018615944961554026	852	69	37065	150
AtlanticForest_Ibateguara	chr_Z	55500001	56000000	0.00532342306147047	502	106	19912	340
AtlanticForest_Ibateguara	chr_Z	56000001	56500000	0.005007350238882764	503	109	21768	102
AtlanticForest_Ibateguara	chr_Z	56500001	57000000	0.0027736436206196725	330	41	14782	8
AtlanticForest_Ibateguara	chr_Z	57000001	57500000	0.0048323074267962954	398	84	17383	62
AtlanticForest_Ibateguara	chr_Z	57500001	58000000	0.002881582140257219	818	95	32968	452
AtlanticForest_Ibateguara	chr_Z	58000001	58500000	0.004030734349414284	391	64	15878	202
AtlanticForest_Ibateguara	chr_Z	58500001	59000000	0.0024691358024691358	450	50	20250	0
AtlanticForest_Ibateguara	chr_Z	59000001	59500000	0.004498977505112475	815	165	36675	0
AtlanticForest_Ibateguara	chr_Z	59500001	60000000	0.0022311468094600626	498	50	22410	0
AtlanticForest_Ibateguara	chr_Z	60000001	60500000	0.00519158567912767	1316	289	55667	418
AtlanticForest_Ibateguara	chr_Z	60500001	61000000	0.003712559778504908	1132	177	47676	384
AtlanticForest_Ibateguara	chr_Z	61000001	61500000	0.002629931120851597	774	84	31940	340
AtlanticForest_Ibateguara	chr_Z	61500001	62000000	0.004159654526402693	721	131	31493	112
AtlanticForest_Ibateguara	chr_Z	62000001	62500000	0.005606031316450802	501	116	20692	218
AtlanticForest_Ibateguara	chr_Z	62500001	63000000	0.0052659005512739636	811	192	36461	4
AtlanticForest_Ibateguara	chr_Z	63000001	63500000	0.0064005753326141675	309	89	13905	0
AtlanticForest_Ibateguara	chr_Z	63500001	64000000	0.0017103762827822121	294	21	12278	112
AtlanticForest_Ibateguara	chr_Z	64000001	64500000	0.0008542796122884837	713	26	30435	220
AtlanticForest_Ibateguara	chr_Z	64500001	65000000	0.00521865184827253	560	108	20695	530
AtlanticForest_Ibateguara	chr_Z	65000001	65500000	0.0	155	0	6975	0
AtlanticForest_Ibateguara	chr_Z	65500001	66000000	0.003631886734379809	361	59	16245	0
AtlanticForest_Ibateguara	chr_Z	66000001	66500000	0.0007081595719568809	569	18	25418	22
AtlanticForest_Ibateguara	chr_Z	66500001	67000000	0.0	609	0	27405	0
AtlanticForest_Ibateguara	chr_Z	67000001	67500000	0.0	766	0	33314	136
AtlanticForest_Ilheus	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	3000001	3500000	0.002441454907822621	446	49	20070	0
AtlanticForest_Ilheus	chr_Z	3500001	4000000	0.0	348	0	15660	0
AtlanticForest_Ilheus	chr_Z	4000001	4500000	0.0	182	0	8190	0
AtlanticForest_Ilheus	chr_Z	4500001	5000000	0.003872379829952016	551	92	23758	122
AtlanticForest_Ilheus	chr_Z	5000001	5500000	0.0014721345951629863	317	21	14265	0
AtlanticForest_Ilheus	chr_Z	5500001	6000000	0.00034423407917383823	581	9	26145	0
AtlanticForest_Ilheus	chr_Z	6000001	6500000	0.002238894843396451	933	94	41985	0
AtlanticForest_Ilheus	chr_Z	6500001	7000000	0.0021293218339741723	1482	139	65279	166
AtlanticForest_Ilheus	chr_Z	7000001	7500000	0.0014027661564207314	1829	114	81268	122
AtlanticForest_Ilheus	chr_Z	7500001	8000000	0.0020288286895698885	1172	105	51754	116
AtlanticForest_Ilheus	chr_Z	8000001	8500000	0.0017357054641343168	1347	104	59918	82
AtlanticForest_Ilheus	chr_Z	8500001	9000000	0.0	225	0	10125	0
AtlanticForest_Ilheus	chr_Z	9000001	9500000	0.0021529324424647365	898	87	40410	0
AtlanticForest_Ilheus	chr_Z	9500001	10000000	0.007130259511211892	882	283	39690	0
AtlanticForest_Ilheus	chr_Z	10000001	10500000	0.0017012227538543328	627	48	28215	0
AtlanticForest_Ilheus	chr_Z	10500001	11000000	0.0056565656565656566	165	42	7425	0
AtlanticForest_Ilheus	chr_Z	11000001	11500000	0.0007483473994927867	550	18	24053	82
AtlanticForest_Ilheus	chr_Z	11500001	12000000	0.00258272800645682	413	48	18585	0
AtlanticForest_Ilheus	chr_Z	12000001	12500000	0.0006935957987911616	714	21	30277	218
AtlanticForest_Ilheus	chr_Z	12500001	13000000	0.0027566807313642756	395	49	17775	0
AtlanticForest_Ilheus	chr_Z	13000001	13500000	0.001176470588235294	170	9	7650	0
AtlanticForest_Ilheus	chr_Z	13500001	14000000	0.0	422	0	18990	0
AtlanticForest_Ilheus	chr_Z	14000001	14500000	0.002316096873269221	444	46	19861	14
AtlanticForest_Ilheus	chr_Z	14500001	15000000	0.000756501182033097	940	32	42300	0
AtlanticForest_Ilheus	chr_Z	15000001	15500000	0.000677892567585889	849	25	36879	156
AtlanticForest_Ilheus	chr_Z	15500001	16000000	0.0	452	0	19405	110
AtlanticForest_Ilheus	chr_Z	16000001	16500000	0.0022411671647038145	531	51	22756	134
AtlanticForest_Ilheus	chr_Z	16500001	17000000	0.003676775495535344	854	133	36173	290
AtlanticForest_Ilheus	chr_Z	17000001	17500000	0.0021412037037037038	384	37	17280	0
AtlanticForest_Ilheus	chr_Z	17500001	18000000	0.004461279461279461	264	53	11880	0
AtlanticForest_Ilheus	chr_Z	18000001	18500000	0.0012535612535612536	611	33	26325	156
AtlanticForest_Ilheus	chr_Z	18500001	19000000	0.0005908419497784342	677	18	30465	0
AtlanticForest_Ilheus	chr_Z	19000001	19500000	0.0009287206872533086	1178	48	51684	156
AtlanticForest_Ilheus	chr_Z	19500001	20000000	0.0011756272401433692	775	41	34875	0
AtlanticForest_Ilheus	chr_Z	20000001	20500000	0.0013737373737373738	550	34	24750	0
AtlanticForest_Ilheus	chr_Z	20500001	21000000	0.004013332426365554	988	177	44103	42
AtlanticForest_Ilheus	chr_Z	21000001	21500000	0.0	491	0	20325	236
AtlanticForest_Ilheus	chr_Z	21500001	22000000	0.0	256	0	11520	0
AtlanticForest_Ilheus	chr_Z	22000001	22500000	0.0029787234042553193	470	63	21150	0
AtlanticForest_Ilheus	chr_Z	22500001	23000000	0.0003225806451612903	620	9	27900	0
AtlanticForest_Ilheus	chr_Z	23000001	23500000	0.003418803418803419	403	62	18135	0
AtlanticForest_Ilheus	chr_Z	23500001	24000000	0.0004938271604938272	405	9	18225	0
AtlanticForest_Ilheus	chr_Z	24000001	24500000	0.0	223	0	10035	0
AtlanticForest_Ilheus	chr_Z	24500001	25000000	0.0	460	0	20700	0
AtlanticForest_Ilheus	chr_Z	25000001	25500000	0.0004030091348737238	1022	18	44664	156
AtlanticForest_Ilheus	chr_Z	25500001	26000000	0.0007834943849569079	1192	42	53606	4
AtlanticForest_Ilheus	chr_Z	26000001	26500000	0.0	413	0	18585	0
AtlanticForest_Ilheus	chr_Z	26500001	27000000	0.0015297130125369958	669	46	30071	4
AtlanticForest_Ilheus	chr_Z	27000001	27500000	0.0018008283810552854	617	50	27765	0
AtlanticForest_Ilheus	chr_Z	27500001	28000000	0.002011494252873563	232	21	10440	0
AtlanticForest_Ilheus	chr_Z	28000001	28500000	0.0	171	0	7695	0
AtlanticForest_Ilheus	chr_Z	28500001	29000000	0.0	79	0	3555	0
AtlanticForest_Ilheus	chr_Z	29000001	29500000	0.0007936507936507937	252	9	11340	0
AtlanticForest_Ilheus	chr_Z	29500001	30000000	0.0016260162601626016	574	42	25830	0
AtlanticForest_Ilheus	chr_Z	30000001	30500000	0.002892416225749559	315	41	14175	0
AtlanticForest_Ilheus	chr_Z	30500001	31000000	0.004093567251461989	456	84	20520	0
AtlanticForest_Ilheus	chr_Z	31000001	31500000	0.004016064257028112	249	45	11205	0
AtlanticForest_Ilheus	chr_Z	31500001	32000000	0.0006622516556291391	604	18	27180	0
AtlanticForest_Ilheus	chr_Z	32000001	32500000	0.0029154518950437317	343	45	15435	0
AtlanticForest_Ilheus	chr_Z	32500001	33000000	0.0025598219254312745	599	69	26955	0
AtlanticForest_Ilheus	chr_Z	33000001	33500000	0.0005689900426742532	703	18	31635	0
AtlanticForest_Ilheus	chr_Z	33500001	34000000	0.0016782277914522265	614	45	26814	96
AtlanticForest_Ilheus	chr_Z	34000001	34500000	0.000896358543417367	595	24	26775	0
AtlanticForest_Ilheus	chr_Z	34500001	35000000	0.0	178	0	8010	0
AtlanticForest_Ilheus	chr_Z	35000001	35500000	0.00440251572327044	106	21	4770	0
AtlanticForest_Ilheus	chr_Z	35500001	36000000	0.00042826552462526765	467	9	21015	0
AtlanticForest_Ilheus	chr_Z	36000001	36500000	0.0	539	0	24255	0
AtlanticForest_Ilheus	chr_Z	36500001	37000000	0.0007915567282321899	758	27	34110	0
AtlanticForest_Ilheus	chr_Z	37000001	37500000	0.00032	625	9	28125	0
AtlanticForest_Ilheus	chr_Z	37500001	38000000	0.0012802498048399688	735	41	32025	140
AtlanticForest_Ilheus	chr_Z	38000001	38500000	0.0	534	0	24030	0
AtlanticForest_Ilheus	chr_Z	38500001	39000000	0.00031914893617021275	655	9	28200	150
