pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	chr_24	1	500000	0.003385246844911581	1114	706	208552	168
AtlanticForest	chr_24	500001	1000000	0.005329146810098439	1740	1721	322941	414
AtlanticForest	chr_24	1000001	1500000	0.006396917942273223	2077	2484	388312	356
AtlanticForest	chr_24	1500001	2000000	0.008783493296358197	1862	3085	351227	138
AtlanticForest	chr_24	2000001	2500000	0.006455365845989372	1705	2053	318030	320
AtlanticForest	chr_24	2500001	3000000	0.006202497343937511	1239	1442	232487	158
AtlanticForest	chr_24	3000001	3500000	0.004524749468569693	703	596	131720	100
AtlanticForest	chr_24	3500001	4000000	0.006023618477718845	951	1063	176472	228
AtlanticForest	chr_24	4000001	4500000	0.005065473731049169	1338	1275	251704	136
AtlanticForest	chr_24	4500001	5000000	0.008481085981967462	855	1347	158824	196
AtlanticForest	chr_24	5000001	5500000	0.006466053220591892	1450	1768	273428	112
AtlanticForest	chr_24	5500001	6000000	0.00798334439316958	1054	1576	197411	154
AtlanticForest	chr_24	6000001	6500000	0.004489893907740087	1052	879	195773	222
AtlanticForest	chr_24	6500001	7000000	0.00036878318621843577	1554	108	292855	130
AtlanticForest	chr_24	7000001	7500000	0.0019101277999175484	383	139	72770	0
Inambari	chr_24	1	500000	0.00435536348285174	1114	1937	444739	3690
Inambari	chr_24	500001	1000000	0.005749282273768657	1740	3847	669127	6666
Inambari	chr_24	1000001	1500000	0.00593416490731953	2077	4902	826064	7024
Inambari	chr_24	1500001	2000000	0.008961615503812866	1862	6165	687934	8148
Inambari	chr_24	2000001	2500000	0.007602880611514236	1705	5001	657777	6470
Inambari	chr_24	2500001	3000000	0.00767266095477366	1239	3677	479234	4644
Inambari	chr_24	3000001	3500000	0.0036215724403689366	703	1015	280265	2318
Inambari	chr_24	3500001	4000000	0.005559964040820523	951	2109	379319	3162
Inambari	chr_24	4000001	4500000	0.0052933718190966966	1338	2793	527641	4622
Inambari	chr_24	4500001	5000000	0.00969756300152776	855	3269	337095	2970
Inambari	chr_24	5000001	5500000	0.006433421747891374	1450	3694	574189	5006
Inambari	chr_24	5500001	6000000	0.008680335233531475	1054	3420	393994	4468
Inambari	chr_24	6000001	6500000	0.004094381731578279	1052	1708	417157	3574
Inambari	chr_24	6500001	7000000	0.0016230629516559107	1554	966	595171	6066
Inambari	chr_24	7000001	7500000	0.0024867114132216097	383	349	140346	1724
Rondonia	chr_24	1	500000	0.0036254123457853684	1114	1010	278589	3594
Rondonia	chr_24	500001	1000000	0.004441043333895381	1740	1712	385495	7946
Rondonia	chr_24	1000001	1500000	0.006001304631441618	2077	2806	467565	9040
Rondonia	chr_24	1500001	2000000	0.009915718793483406	1862	4126	416107	8270
Rondonia	chr_24	2000001	2500000	0.006338577383353502	1705	2357	371850	8134
Rondonia	chr_24	2500001	3000000	0.007986479196296869	1239	2117	265073	6092
Rondonia	chr_24	3000001	3500000	0.005948611787627862	703	977	164240	2798
Rondonia	chr_24	3500001	4000000	0.006424375097728237	951	1438	223835	3712
Rondonia	chr_24	4000001	4500000	0.005503349581628131	1338	1689	306904	5556
Rondonia	chr_24	4500001	5000000	0.008773291536678067	855	1752	199697	3388
Rondonia	chr_24	5000001	5500000	0.008557386351502652	1450	2805	327787	6310
Rondonia	chr_24	5500001	6000000	0.008596083089970136	1054	2084	242436	4436
Rondonia	chr_24	6000001	6500000	0.004058921215519659	1052	941	231835	4786
Rondonia	chr_24	6500001	7000000	0.0021619207876579917	1554	794	367266	5952
Rondonia	chr_24	7000001	7500000	0.001442529153635416	383	119	82494	1866
RondoniaHeadwaters	chr_24	1	500000	0.005152378864284149	1114	47	9122	1920
RondoniaHeadwaters	chr_24	500001	1000000	0.004074801717237867	1740	56	13743	3106
RondoniaHeadwaters	chr_24	1000001	1500000	0.004906646275409418	2077	77	15693	3908
RondoniaHeadwaters	chr_24	1500001	2000000	0.00679001867255135	1861	80	11782	4032
RondoniaHeadwaters	chr_24	2000001	2500000	0.006789312308366185	1705	93	13698	3114
RondoniaHeadwaters	chr_24	2500001	3000000	0.006021429203931639	1239	68	11293	1872
RondoniaHeadwaters	chr_24	3000001	3500000	0.0036516341062625525	703	20	5477	1248
RondoniaHeadwaters	chr_24	3500001	4000000	0.003196649029982363	951	29	9072	1218
RondoniaHeadwaters	chr_24	4000001	4500000	0.0065323897659227	1338	72	11022	2136
RondoniaHeadwaters	chr_24	4500001	5000000	0.007380073800738007	855	52	7046	1390
RondoniaHeadwaters	chr_24	5000001	5500000	0.007751937984496124	1450	105	13545	2010
RondoniaHeadwaters	chr_24	5500001	6000000	0.00930004894762604	1054	76	8172	1828
RondoniaHeadwaters	chr_24	6000001	6500000	0.005654034229828851	998	37	6544	2528
RondoniaHeadwaters	chr_24	6500001	7000000	0.0026008827238335436	1554	33	12688	2692
RondoniaHeadwaters	chr_24	7000001	7500000	0.005569996286669142	383	15	2693	784
Tapajos	chr_24	1	500000	0.0040918390543305296	1114	1170	285935	5474
Tapajos	chr_24	500001	1000000	0.005380094341577287	1740	2337	434379	9098
Tapajos	chr_24	1000001	1500000	0.006607815807134376	2077	3456	523017	10674
Tapajos	chr_24	1500001	2000000	0.009102673357952213	1862	4326	475245	9222
Tapajos	chr_24	2000001	2500000	0.0069753698248944855	1705	2998	429798	8736
Tapajos	chr_24	2500001	3000000	0.0068733171873520136	1239	2032	295636	7116
Tapajos	chr_24	3000001	3500000	0.005683624158904435	703	1055	185621	3250
Tapajos	chr_24	3500001	4000000	0.006378254953258429	951	1514	237369	5002
Tapajos	chr_24	4000001	4500000	0.004954530840949801	1338	1726	348368	6336
Tapajos	chr_24	4500001	5000000	0.008147491418309123	855	1792	219945	4202
Tapajos	chr_24	5000001	5500000	0.0077223661897987215	1450	2828	366209	7422
Tapajos	chr_24	5500001	6000000	0.009268076162872308	1054	2443	263593	5550
Tapajos	chr_24	6000001	6500000	0.005181548254381028	1052	1335	257645	5702
Tapajos	chr_24	6500001	7000000	0.0015659175519152182	1554	620	395934	7700
Tapajos	chr_24	7000001	7500000	0.0018829115543230216	383	184	97721	1930
TapajosHeadwaters	chr_24	1	500000	0.008223684210526315	1002	50	6080	2868
TapajosHeadwaters	chr_24	500001	1000000	0.0043274853801169594	1685	37	8550	4508
TapajosHeadwaters	chr_24	1000001	1500000	0.007444828503057698	1897	56	7522	6418
TapajosHeadwaters	chr_24	1500001	2000000	0.00944456937261075	1685	84	8894	5040
TapajosHeadwaters	chr_24	2000001	2500000	0.0067891841273557295	1639	58	8543	4360
TapajosHeadwaters	chr_24	2500001	3000000	0.006012024048096192	1074	36	5988	3530
TapajosHeadwaters	chr_24	3000001	3500000	0.006991377301328362	703	30	4291	1532
TapajosHeadwaters	chr_24	3500001	4000000	0.0038356164383561643	950	21	5475	2244
TapajosHeadwaters	chr_24	4000001	4500000	0.0053545586107091175	1272	37	6910	3344
TapajosHeadwaters	chr_24	4500001	5000000	0.010375099760574621	855	39	3759	2332
TapajosHeadwaters	chr_24	5000001	5500000	0.007315957933241884	1405	48	6561	3986
TapajosHeadwaters	chr_24	5500001	6000000	0.004162480264102196	1054	29	6967	2222
TapajosHeadwaters	chr_24	6000001	6500000	0.00625	1052	40	6400	2344
TapajosHeadwaters	chr_24	6500001	7000000	0.0018032232615800743	1467	16	8873	3642
TapajosHeadwaters	chr_24	7000001	7500000	0.0009136592051164915	383	2	2189	888
XinguBelem	chr_24	1	500000	0.004199323198849789	1114	479	114066	1428
XinguBelem	chr_24	500001	1000000	0.005446079887044269	1740	972	178477	2238
XinguBelem	chr_24	1000001	1500000	0.005984589118436147	2077	1325	221402	1940
XinguBelem	chr_24	1500001	2000000	0.008038116591928251	1862	1434	178400	3264
XinguBelem	chr_24	2000001	2500000	0.006755547343684141	1705	1170	173191	2258
XinguBelem	chr_24	2500001	3000000	0.0063413508589069325	1239	797	125683	1666
XinguBelem	chr_24	3000001	3500000	0.005090762944604461	703	380	74645	670
XinguBelem	chr_24	3500001	4000000	0.006727588720076246	951	600	89185	1798
XinguBelem	chr_24	4000001	4500000	0.005120809912004473	1338	696	135916	1784
XinguBelem	chr_24	4500001	5000000	0.008173167514603353	855	694	84912	1256
XinguBelem	chr_24	5000001	5500000	0.0059750426549797595	1450	893	149455	1706
XinguBelem	chr_24	5500001	6000000	0.005718722187505918	1054	604	105618	1476
XinguBelem	chr_24	6000001	6500000	0.004696170513147317	1052	479	101998	1740
XinguBelem	chr_24	6500001	7000000	0.0011064666830587658	1554	162	146412	2920
XinguBelem	chr_24	7000001	7500000	0.0007173601147776184	383	26	36244	704
XinguHeadwaters	chr_24	1	500000	0.003590664272890485	1114	24	6684	0
XinguHeadwaters	chr_24	500001	1000000	0.00421455938697318	1740	44	10440	0
XinguHeadwaters	chr_24	1000001	1500000	0.007623174450329001	2077	95	12462	0
XinguHeadwaters	chr_24	1500001	2000000	0.009398496240601503	1862	105	11172	0
XinguHeadwaters	chr_24	2000001	2500000	0.008699902248289345	1705	89	10230	0
XinguHeadwaters	chr_24	2500001	3000000	0.005271188791788043	1239	38	7209	90
XinguHeadwaters	chr_24	3000001	3500000	0.004267425320056899	703	18	4218	0
XinguHeadwaters	chr_24	3500001	4000000	0.007380073800738007	951	42	5691	6
XinguHeadwaters	chr_24	4000001	4500000	0.0033632286995515697	1338	27	8028	0
XinguHeadwaters	chr_24	4500001	5000000	0.009941520467836258	855	51	5130	0
XinguHeadwaters	chr_24	5000001	5500000	0.004274985557481225	1450	37	8655	18
XinguHeadwaters	chr_24	5500001	6000000	0.006957621758380772	1054	44	6324	0
XinguHeadwaters	chr_24	6000001	6500000	0.0031685678073510772	1052	20	6312	0
XinguHeadwaters	chr_24	6500001	7000000	0.00424865831842576	1554	38	8944	152
XinguHeadwaters	chr_24	7000001	7500000	0.0013054830287206266	383	3	2298	0
