pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	chr_4A	1	500000	0.003600704818815598	687	470	130530	0
AtlanticForest	chr_4A	500001	1000000	0.004577878597392659	1194	1005	219534	396
AtlanticForest	chr_4A	1000001	1500000	0.00370562658186774	811	571	154090	0
AtlanticForest	chr_4A	1500001	2000000	0.004867006225240521	744	688	141360	0
AtlanticForest	chr_4A	2000001	2500000	0.0069721554707996205	967	1265	181436	124
AtlanticForest	chr_4A	2500001	3000000	0.0036165933315178704	1115	757	209313	138
AtlanticForest	chr_4A	3000001	3500000	0.0017397529980311436	2220	729	419025	150
AtlanticForest	chr_4A	3500001	4000000	0.0060016111707841035	392	447	74480	0
AtlanticForest	chr_4A	4000001	4500000	0.006988272074496987	638	836	119629	86
AtlanticForest	chr_4A	4500001	5000000	0.004047725245316681	472	363	89680	0
AtlanticForest	chr_4A	5000001	5500000	0.008284163323105971	223	351	42370	0
AtlanticForest	chr_4A	5500001	6000000	0.004867803311094638	213	197	40470	0
AtlanticForest	chr_4A	6000001	6500000	0.003137592176724481	340	197	62787	98
AtlanticForest	chr_4A	6500001	7000000	0.004635925330696007	257	225	48534	16
AtlanticForest	chr_4A	7000001	7500000	0.005954887218045113	350	396	66500	0
AtlanticForest	chr_4A	7500001	8000000	0.0020988507512349945	428	164	78138	172
AtlanticForest	chr_4A	8000001	8500000	0.005786356055545479	1202	1308	226049	126
AtlanticForest	chr_4A	8500001	9000000	0.003266457922610074	1090	676	206952	8
AtlanticForest	chr_4A	9000001	9500000	0.009017713365539453	750	1260	139725	150
AtlanticForest	chr_4A	9500001	10000000	0.003924025588603839	640	476	121304	16
AtlanticForest	chr_4A	10000001	10500000	0.0029038413672944495	1041	560	192848	276
AtlanticForest	chr_4A	10500001	11000000	0.004206003844628813	1057	838	199239	86
AtlanticForest	chr_4A	11000001	11500000	0.00674167262171849	976	1217	180519	266
AtlanticForest	chr_4A	11500001	12000000	0.005550314810345962	488	506	91166	84
AtlanticForest	chr_4A	12000001	12500000	0.004887670597108007	786	674	137898	644
AtlanticForest	chr_4A	12500001	13000000	0.008081018729715991	404	620	76723	2
AtlanticForest	chr_4A	13000001	13500000	0.004658563705379395	287	243	52162	128
AtlanticForest	chr_4A	13500001	14000000	0.003134866182491605	493	281	89637	218
AtlanticForest	chr_4A	14000001	14500000	0.007230600219714371	527	724	100130	0
AtlanticForest	chr_4A	14500001	15000000	0.003339798476749137	567	353	105695	110
AtlanticForest	chr_4A	15000001	15500000	0.00459944108057755	452	395	85880	0
AtlanticForest	chr_4A	15500001	16000000	0.002054794520547945	584	228	110960	0
AtlanticForest	chr_4A	16000001	16500000	0.0026290006531678642	334	161	61240	120
AtlanticForest	chr_4A	16500001	17000000	0.004245420180284966	181	146	34390	0
AtlanticForest	chr_4A	17000001	17500000	0.003927185363149141	229	170	43288	12
AtlanticForest	chr_4A	17500001	18000000	0.002315562340369316	1465	631	272504	316
AtlanticForest	chr_4A	18000001	18500000	0.0043862951350012265	2180	1806	411737	134
AtlanticForest	chr_4A	18500001	19000000	0.0034968627671951185	1620	1055	301699	330
AtlanticForest	chr_4A	19000001	19500000	0.005250144989469186	1236	1204	229327	298
AtlanticForest	chr_4A	19500001	20000000	0.004827232430583871	1231	1101	228081	314
AtlanticForest	chr_4A	20000001	20500000	0.003529171766625867	1032	692	196080	0
AtlanticForest	chr_4A	20500001	21000000	0.0007474146248658051	391	55	73587	38
AtlanticForest	chr_4A	21000001	21500000	0.0068600293302916735	323	421	61370	0
AtlanticForest	chr_4A	21500001	22000000	0.004746647680075947	150	120	25281	174
AtlanticForest	chr_4A	22000001	22500000	0.0026498403102100444	681	341	128687	38
AtlanticForest	chr_4A	22500001	23000000	0.005510360016180503	1171	1226	222490	0
Inambari	chr_4A	1	500000	0.0033366801940924724	687	874	261937	2718
Inambari	chr_4A	500001	1000000	0.005692073701474213	1194	2485	436572	5424
Inambari	chr_4A	1000001	1500000	0.00437030325640889	811	1394	318971	2826
Inambari	chr_4A	1500001	2000000	0.0038620202349078135	744	1115	288709	2790
Inambari	chr_4A	2000001	2500000	0.0059986299762292685	967	2198	366417	3902
Inambari	chr_4A	2500001	3000000	0.0035933803955730294	1115	1551	431627	4210
Inambari	chr_4A	3000001	3500000	0.003469368507565244	2220	3090	890652	7120
Inambari	chr_4A	3500001	4000000	0.006655328434361262	392	1037	155815	1306
Inambari	chr_4A	4000001	4500000	0.005504454570184984	638	1295	235264	2808
Inambari	chr_4A	4500001	5000000	0.006215097848369012	472	1143	183907	1714
Inambari	chr_4A	5000001	5500000	0.009795444279537975	223	759	77485	1166
Inambari	chr_4A	5500001	6000000	0.001811913330145708	213	144	79474	916
Inambari	chr_4A	6000001	6500000	0.0070617797417901395	340	815	115410	1868
Inambari	chr_4A	6500001	7000000	0.005176358652560995	257	457	88286	1396
Inambari	chr_4A	7000001	7500000	0.00633315501561718	350	734	115898	2036
Inambari	chr_4A	7500001	8000000	0.001634087474958806	428	239	146259	2298
Inambari	chr_4A	8000001	8500000	0.006724985173261035	1202	3175	472120	4240
Inambari	chr_4A	8500001	9000000	0.004204324645778733	1090	1824	433839	3618
Inambari	chr_4A	9000001	9500000	0.0069551879184468835	750	2113	303802	2308
Inambari	chr_4A	9500001	10000000	0.00417513302311779	640	1013	242627	2586
Inambari	chr_4A	10000001	10500000	0.0038803101357747253	1041	1611	415173	3462
Inambari	chr_4A	10500001	11000000	0.005494937386699156	1057	2237	407102	4028
Inambari	chr_4A	11000001	11500000	0.006446038616268548	976	2365	366892	4016
Inambari	chr_4A	11500001	12000000	0.004826110465584483	488	839	173846	2380
Inambari	chr_4A	12000001	12500000	0.0061880724732888345	786	1818	293791	3306
Inambari	chr_4A	12500001	13000000	0.005532707522637995	404	900	162669	1278
Inambari	chr_4A	13000001	13500000	0.007821783201248178	287	757	96781	1598
Inambari	chr_4A	13500001	14000000	0.006107624544030612	493	1162	190254	1860
Inambari	chr_4A	14000001	14500000	0.007177124400322994	527	1511	210530	1756
Inambari	chr_4A	14500001	15000000	0.003830247203684557	567	815	212780	2360
Inambari	chr_4A	15000001	15500000	0.004455907028773849	452	717	160910	2212
Inambari	chr_4A	15500001	16000000	0.003802402862985685	584	833	219072	2424
Inambari	chr_4A	16000001	16500000	0.00518041879596161	334	665	128368	1272
Inambari	chr_4A	16500001	17000000	0.0032858853265930557	181	247	75170	492
Inambari	chr_4A	17000001	17500000	0.0048925167308862295	229	386	78896	1224
Inambari	chr_4A	17500001	18000000	0.004241056975678246	1465	2489	586882	4756
Inambari	chr_4A	18000001	18500000	0.005424285861643363	2180	4575	843429	8222
Inambari	chr_4A	18500001	19000000	0.005172738581535971	1620	3048	589243	7450
Inambari	chr_4A	19000001	19500000	0.006183554586393709	1236	3003	485643	4370
Inambari	chr_4A	19500001	20000000	0.004956560121437876	1231	2302	464435	5026
Inambari	chr_4A	20000001	20500000	0.0040195899409586145	1032	1717	427158	2844
Inambari	chr_4A	20500001	21000000	0.0005814470506953423	391	85	146187	1642
Inambari	chr_4A	21000001	21500000	0.00785534966244819	323	1067	135831	818
Inambari	chr_4A	21500001	22000000	0.004007786556738807	150	210	52398	804
Inambari	chr_4A	22000001	22500000	0.00242827556311911	681	605	249148	3104
Inambari	chr_4A	22500001	23000000	0.005770109689213894	1171	2626	455104	4320
Rondonia	chr_4A	1	500000	0.0038156827036837444	687	616	161439	2664
Rondonia	chr_4A	500001	1000000	0.007641571557859374	1194	2170	283973	4522
