pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	Inambari	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	3000001	3500000	0.003613726085636198	446	952	263440	22000
AtlanticForest	Inambari	chr_Z	3500001	4000000	0.00279496699669967	348	542	193920	28800
AtlanticForest	Inambari	chr_Z	4000001	4500000	0.0011078286558345643	182	120	108320	8160
AtlanticForest	Inambari	chr_Z	4500001	5000000	0.003366845607036239	551	1006	298796	53844
AtlanticForest	Inambari	chr_Z	5000001	5500000	0.0012840433337649446	317	238	185352	17528
AtlanticForest	Inambari	chr_Z	5500001	6000000	0.0009824937477670597	581	330	335880	35960
AtlanticForest	Inambari	chr_Z	6000001	6500000	0.002431328878990349	933	1310	538800	58320
AtlanticForest	Inambari	chr_Z	6500001	7000000	0.003314203526634274	1482	2802	845452	103028
AtlanticForest	Inambari	chr_Z	7000001	7500000	0.0026794176264338006	1829	2748	1025596	144964
AtlanticForest	Inambari	chr_Z	7500001	8000000	0.0019669483459752546	1172	1364	693460	56620
AtlanticForest	Inambari	chr_Z	8000001	8500000	0.0028350933376573365	1347	2238	789392	72688
AtlanticForest	Inambari	chr_Z	8500001	9000000	0.0010391923990498812	225	140	134720	9280
AtlanticForest	Inambari	chr_Z	9000001	9500000	0.003347859278580062	898	1684	503008	71712
AtlanticForest	Inambari	chr_Z	9500001	10000000	0.006490934516736588	882	3212	494844	69636
AtlanticForest	Inambari	chr_Z	10000001	10500000	0.0031248592405747487	627	1110	355216	46064
