pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	Inambari	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest	Inambari	chr_Z	3000001	3500000	0.0015814524796560726	441	412	260520	21720
AtlanticForest	Inambari	chr_Z	3500001	4000000	0.0010746181453968784	344	206	191696	28464
AtlanticForest	Inambari	chr_Z	4000001	4500000	0.001114413075780089	181	120	107680	8160
AtlanticForest	Inambari	chr_Z	4500001	5000000	0.0024193657083552357	547	718	296772	53308
AtlanticForest	Inambari	chr_Z	5000001	5500000	0.001093215569121531	316	202	184776	17464
AtlanticForest	Inambari	chr_Z	5500001	6000000	0.0009876691009218245	578	330	334120	35800
AtlanticForest	Inambari	chr_Z	6000001	6500000	0.0015833208564156312	925	846	534320	57680
AtlanticForest	Inambari	chr_Z	6500001	7000000	0.002671617460604963	1471	2242	839192	102248
AtlanticForest	Inambari	chr_Z	7000001	7500000	0.0016286709100075624	1811	1654	1015552	143488
AtlanticForest	Inambari	chr_Z	7500001	8000000	0.0013352649584584236	1162	918	687504	56176
AtlanticForest	Inambari	chr_Z	8000001	8500000	0.0024002085804261586	1335	1878	782432	71968
AtlanticForest	Inambari	chr_Z	8500001	9000000	0.0010391923990498812	225	140	134720	9280
AtlanticForest	Inambari	chr_Z	9000001	9500000	0.0023375864419986365	880	1152	492816	70384
AtlanticForest	Inambari	chr_Z	9500001	10000000	0.004525833771008404	869	2206	487424	68736
AtlanticForest	Inambari	chr_Z	10000001	10500000	0.0018213692143068552	620	640	351384	45416
