pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	100001	600000	0.04277358030709228	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	600001	1100000	0.2135645209389511	13
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	1100001	1600000	0.04384493633507354	10
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	1600001	2100000	0.08950617283950615	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	2100001	2600000	0.00971880264351433	17
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	2600001	3100000	0.0748587570621469	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	3100001	3600000	0.05448717948717943	10
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	3600001	4100000	0.06118397304776797	6
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	4100001	4600000	0.08160343593414454	6
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	4600001	5100000	-0.1111111111111105	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	5100001	5600000	0.03409090909090909	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	5600001	6100000	0.1249999999999995	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	6100001	6600000	-1.0408340855860839e-16	3
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	6600001	7100000	NA	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	7100001	7600000	-0.013550506433068607	3
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	7600001	8100000	-0.08172127911567295	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	8100001	8600000	0.04446110374257541	21
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	8600001	9100000	-0.007462686567164176	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	9100001	9600000	-0.05120248254460818	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	9600001	10100000	-0.07136700568867421	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	10100001	10600000	0.030643766217719064	12
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	10600001	11100000	-0.0387933564176301	10
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	11100001	11600000	0.013157894736842101	12
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	11600001	12100000	0.19468916739049502	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	12100001	12600000	0.0007450947926152664	6
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	12600001	13100000	0.08534909290819134	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	13100001	13600000	0.14893617021276595	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	13600001	14100000	-0.1229409401366005	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	14100001	14600000	0.07499999999999998	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	14600001	15100000	0.1898092248249215	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	15100001	15600000	-0.04166666666666666	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	15600001	16100000	0.08333333333333294	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	16100001	16600000	0.06085649887302753	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	16600001	17100000	-0.1111111111111105	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	17100001	17600000	0.3749999999999999	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	17600001	18100000	0.0327669902912622	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	18100001	18600000	0.13352272727272727	20
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	18600001	19100000	0.23805229936880065	15
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	19100001	19600000	0.008152173913043478	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	19600001	20100000	0.11138735588219222	13
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	20100001	20600000	-0.00728155339805821	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	21100001	21600000	0.1438356164383561	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	22100001	22600000	0.2083333333333332	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_4A	22600001	23100000	0.027777777777777592	2
AtlanticForest_Ibateguara	InambariE	chr_4A	100001	600000	0.040723981900452455	8
AtlanticForest_Ibateguara	InambariE	chr_4A	600001	1100000	0.20401987095300625	13
AtlanticForest_Ibateguara	InambariE	chr_4A	1100001	1600000	0.04291809587551246	10
AtlanticForest_Ibateguara	InambariE	chr_4A	1600001	2100000	0.04040404040404038	8
AtlanticForest_Ibateguara	InambariE	chr_4A	2100001	2600000	0.09823870318677116	17
