pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	3000001	3500000	0.0	441	0	19845	0
AtlanticForest_Ibateguara	chr_Z	3500001	4000000	0.0017167971432495537	344	25	14562	108
AtlanticForest_Ibateguara	chr_Z	4000001	4500000	0.0	181	0	6785	160
AtlanticForest_Ibateguara	chr_Z	4500001	5000000	0.00148574612313121	547	32	21538	362
AtlanticForest_Ibateguara	chr_Z	5000001	5500000	0.0	316	0	12792	168
AtlanticForest_Ibateguara	chr_Z	5500001	6000000	0.0	578	0	26010	0
AtlanticForest_Ibateguara	chr_Z	6000001	6500000	0.0012492492492492493	925	52	41625	0
AtlanticForest_Ibateguara	chr_Z	6500001	7000000	0.0015514042607638666	1471	97	62524	486
AtlanticForest_Ibateguara	chr_Z	7000001	7500000	0.0011522180196878993	1811	92	79846	194
AtlanticForest_Ibateguara	chr_Z	7500001	8000000	0.0006882591093117409	1162	34	49400	340
AtlanticForest_Ibateguara	chr_Z	8000001	8500000	0.0011917304271230936	1335	69	57899	256
AtlanticForest_Ibateguara	chr_Z	8500001	9000000	0.0	225	0	10125	0
AtlanticForest_Ibateguara	chr_Z	9000001	9500000	0.0010592098294672175	880	40	37764	216
AtlanticForest_Ibateguara	chr_Z	9500001	10000000	0.001668752607425949	869	60	35955	380
AtlanticForest_Ibateguara	chr_Z	10000001	10500000	0.0021165199955441682	620	57	26931	114
AtlanticForest_Ibateguara	chr_Z	10500001	11000000	0.006446540880503145	164	41	6360	120
AtlanticForest_Ibateguara	chr_Z	11000001	11500000	0.0016661112962345886	549	40	24008	82
AtlanticForest_Ibateguara	chr_Z	11500001	12000000	0.0010934937124111536	410	18	16461	234
AtlanticForest_Ibateguara	chr_Z	12000001	12500000	0.0006243929512973498	709	18	28828	362
AtlanticForest_Ibateguara	chr_Z	12500001	13000000	0.0009567661304789811	389	16	16723	92
AtlanticForest_Ibateguara	chr_Z	13000001	13500000	0.0	168	0	6795	90
AtlanticForest_Ibateguara	chr_Z	13500001	14000000	0.0	418	0	18810	0
AtlanticForest_Ibateguara	chr_Z	14000001	14500000	0.0014763198299279556	436	25	16934	316
AtlanticForest_Ibateguara	chr_Z	14500001	15000000	0.000881920627143557	926	36	40820	100
AtlanticForest_Ibateguara	chr_Z	15000001	15500000	0.00024681201151789385	833	9	36465	120
AtlanticForest_Ibateguara	chr_Z	15500001	16000000	0.0	451	0	19054	146
AtlanticForest_Ibateguara	chr_Z	16000001	16500000	0.0020163831127914303	529	48	23805	0
AtlanticForest_Ibateguara	chr_Z	16500001	17000000	0.00047449584816132857	843	18	37935	0
AtlanticForest_Ibateguara	chr_Z	17000001	17500000	0.004960442044455607	383	79	15926	154
AtlanticForest_Ibateguara	chr_Z	17500001	18000000	0.0013728013728013728	259	16	11655	0
AtlanticForest_Ibateguara	chr_Z	18000001	18500000	0.0	605	0	25474	206
AtlanticForest_Ibateguara	chr_Z	18500001	19000000	0.0003149937001259975	661	9	28572	138
AtlanticForest_Ibateguara	chr_Z	19000001	19500000	0.000179168657429527	1148	9	50232	168
AtlanticForest_Ibateguara	chr_Z	19500001	20000000	0.001496020585243253	765	50	33422	118
AtlanticForest_Ibateguara	chr_Z	20000001	20500000	0.00130718954248366	544	32	24480	0
AtlanticForest_Ibateguara	chr_Z	20500001	21000000	0.003457958504497946	979	133	38462	658
AtlanticForest_Ibateguara	chr_Z	21000001	21500000	0.0	490	0	20656	164
AtlanticForest_Ibateguara	chr_Z	21500001	22000000	0.0	254	0	11430	0
AtlanticForest_Ibateguara	chr_Z	22000001	22500000	0.001990049751243781	469	42	21105	0
AtlanticForest_Ibateguara	chr_Z	22500001	23000000	0.0	616	0	24473	382
AtlanticForest_Ibateguara	chr_Z	23000001	23500000	0.0020016484163428707	399	34	16986	114
AtlanticForest_Ibateguara	chr_Z	23500001	24000000	0.0	403	0	18135	0
AtlanticForest_Ibateguara	chr_Z	24000001	24500000	0.0	223	0	9151	104
AtlanticForest_Ibateguara	chr_Z	24500001	25000000	0.0	455	0	20475	0
AtlanticForest_Ibateguara	chr_Z	25000001	25500000	0.00096035734226689	995	43	44775	0
AtlanticForest_Ibateguara	chr_Z	25500001	26000000	0.00116827218692355	1156	57	48790	380
AtlanticForest_Ibateguara	chr_Z	26000001	26500000	0.0	412	0	18540	0
AtlanticForest_Ibateguara	chr_Z	26500001	27000000	0.0008686587908269632	666	25	28780	140
AtlanticForest_Ibateguara	chr_Z	27000001	27500000	0.0013479543881380013	613	37	27449	16
AtlanticForest_Ibateguara	chr_Z	27500001	28000000	0.0	232	0	10440	0
AtlanticForest_Ibateguara	chr_Z	28000001	28500000	0.0	171	0	6488	142
AtlanticForest_Ibateguara	chr_Z	28500001	29000000	0.0	79	0	3555	0
AtlanticForest_Ibateguara	chr_Z	29000001	29500000	0.0007936507936507937	252	9	11340	0
AtlanticForest_Ibateguara	chr_Z	29500001	30000000	0.00038723001462868945	569	9	23242	278
AtlanticForest_Ibateguara	chr_Z	30000001	30500000	0.0	314	0	12923	142
AtlanticForest_Ibateguara	chr_Z	30500001	31000000	0.00047234176550855464	451	9	19054	146
AtlanticForest_Ibateguara	chr_Z	31000001	31500000	0.0065943992773261064	246	73	11070	0
AtlanticForest_Ibateguara	chr_Z	31500001	32000000	0.0014714297392299518	603	36	24466	314
AtlanticForest_Ibateguara	chr_Z	32000001	32500000	0.0010426849136526556	341	16	15345	0
AtlanticForest_Ibateguara	chr_Z	32500001	33000000	0.0008177251664654803	596	21	25681	134
AtlanticForest_Ibateguara	chr_Z	33000001	33500000	0.0008655310898767484	694	25	28884	276
AtlanticForest_Ibateguara	chr_Z	33500001	34000000	0.0	610	0	26634	96
AtlanticForest_Ibateguara	chr_Z	34000001	34500000	0.0	590	0	26550	0
AtlanticForest_Ibateguara	chr_Z	34500001	35000000	0.0019975031210986267	178	16	8010	0
AtlanticForest_Ibateguara	chr_Z	35000001	35500000	0.0	105	0	4725	0
AtlanticForest_Ibateguara	chr_Z	35500001	36000000	0.0023366714353838815	466	49	20970	0
AtlanticForest_Ibateguara	chr_Z	36000001	36500000	0.0	534	0	24030	0
AtlanticForest_Ibateguara	chr_Z	36500001	37000000	0.001078713389121339	755	33	30592	398
AtlanticForest_Ibateguara	chr_Z	37000001	37500000	0.0009260688377836086	622	24	25916	244
AtlanticForest_Ibateguara	chr_Z	37500001	38000000	0.0	729	0	30816	234
AtlanticForest_Ibateguara	chr_Z	38000001	38500000	0.00037593984962406017	532	9	23940	0
AtlanticForest_Ibateguara	chr_Z	38500001	39000000	0.00030674846625766873	652	9	29340	0
AtlanticForest_Ibateguara	chr_Z	39000001	39500000	0.0011494252873563218	464	24	20880	0
AtlanticForest_Ibateguara	chr_Z	39500001	40000000	0.0	573	0	24595	140
AtlanticForest_Ibateguara	chr_Z	40000001	40500000	0.00046702298790929375	480	9	19271	274
AtlanticForest_Ibateguara	chr_Z	40500001	41000000	0.0	212	0	8299	146
AtlanticForest_Ibateguara	chr_Z	41000001	41500000	0.0	548	0	23011	194
AtlanticForest_Ibateguara	chr_Z	41500001	42000000	0.0	246	0	11070	0
AtlanticForest_Ibateguara	chr_Z	42000001	42500000	0.00034453717173263913	1181	18	52244	106
AtlanticForest_Ibateguara	chr_Z	42500001	43000000	0.00012714558169103624	1573	9	70785	0
AtlanticForest_Ibateguara	chr_Z	43000001	43500000	0.0005212657103693264	1179	27	51797	148
AtlanticForest_Ibateguara	chr_Z	43500001	44000000	0.0007031730684714776	520	16	22754	76
AtlanticForest_Ibateguara	chr_Z	44000001	44500000	0.0	53	0	2385	0
AtlanticForest_Ibateguara	chr_Z	44500001	45000000	0.002811244979919679	166	21	7470	0
AtlanticForest_Ibateguara	chr_Z	45000001	45500000	0.0	281	0	12645	0
AtlanticForest_Ibateguara	chr_Z	45500001	46000000	0.0	253	0	10161	144
AtlanticForest_Ibateguara	chr_Z	46000001	46500000	0.0010426441455531226	1117	50	47955	300
AtlanticForest_Ibateguara	chr_Z	46500001	47000000	0.0022703818369453044	323	33	14535	0
AtlanticForest_Ibateguara	chr_Z	47000001	47500000	0.0017191583000962728	358	25	14542	208
AtlanticForest_Ibateguara	chr_Z	47500001	48000000	0.0015223017202009438	481	30	19707	228
AtlanticForest_Ibateguara	chr_Z	48000001	48500000	0.0030303030303030303	154	21	6930	0
AtlanticForest_Ibateguara	chr_Z	48500001	49000000	0.004492234169653524	465	94	20925	0
AtlanticForest_Ibateguara	chr_Z	49000001	49500000	0.0035614486877431372	463	65	18251	304
AtlanticForest_Ibateguara	chr_Z	49500001	50000000	0.0013670723208063047	911	51	37306	434
AtlanticForest_Ibateguara	chr_Z	50000001	50500000	0.0012750822092477015	415	19	14901	444
AtlanticForest_Ibateguara	chr_Z	50500001	51000000	0.00048661800486618007	411	9	18495	0
AtlanticForest_Ibateguara	chr_Z	51000001	51500000	0.0010984368398817069	789	39	35505	0
AtlanticForest_Ibateguara	chr_Z	51500001	52000000	0.0	530	0	21266	304
AtlanticForest_Ibateguara	chr_Z	52000001	52500000	0.0	659	0	27122	298
AtlanticForest_Ibateguara	chr_Z	52500001	53000000	0.0009352349777881693	407	16	17108	142
AtlanticForest_Ibateguara	chr_Z	53000001	53500000	0.0025926886180969665	455	50	19285	140
AtlanticForest_Ibateguara	chr_Z	53500001	54000000	0.0036781609195402297	145	24	6525	0
AtlanticForest_Ibateguara	chr_Z	54000001	54500000	NA	0	0	0	0
AtlanticForest_Ibateguara	chr_Z	54500001	55000000	0.0026886145404663923	405	49	18225	0
AtlanticForest_Ibateguara	chr_Z	55000001	55500000	0.0016318981695542197	845	60	36767	148
AtlanticForest_Ibateguara	chr_Z	55500001	56000000	0.0020951504931268844	494	41	19569	338
AtlanticForest_Ibateguara	chr_Z	56000001	56500000	0.0017174952420739916	498	37	21543	102
AtlanticForest_Ibateguara	chr_Z	56500001	57000000	0.0021780560849441874	328	32	14692	8
AtlanticForest_Ibateguara	chr_Z	57000001	57500000	0.004225352112676056	390	72	17040	60
AtlanticForest_Ibateguara	chr_Z	57500001	58000000	0.0021433601763679233	810	70	32659	446
AtlanticForest_Ibateguara	chr_Z	58000001	58500000	0.0032959371236610255	388	52	15777	198
AtlanticForest_Ibateguara	chr_Z	58500001	59000000	0.002491280518186348	446	50	20070	0
AtlanticForest_Ibateguara	chr_Z	59000001	59500000	0.0014426411430156748	801	52	36045	0
AtlanticForest_Ibateguara	chr_Z	59500001	60000000	0.00040567951318458417	493	9	22185	0
AtlanticForest_Ibateguara	chr_Z	60000001	60500000	0.002039775624681285	1298	112	54908	412
AtlanticForest_Ibateguara	chr_Z	60500001	61000000	0.0037310286677908937	1126	177	47440	380
AtlanticForest_Ibateguara	chr_Z	61000001	61500000	0.0009548970302702359	762	30	31417	338
AtlanticForest_Ibateguara	chr_Z	61500001	62000000	0.001895095236565702	713	59	31133	112
AtlanticForest_Ibateguara	chr_Z	62000001	62500000	0.0022456551454793985	496	46	20484	216
AtlanticForest_Ibateguara	chr_Z	62500001	63000000	0.0035751194034019497	796	128	35803	2
AtlanticForest_Ibateguara	chr_Z	63000001	63500000	0.0025185185185185185	300	34	13500	0
AtlanticForest_Ibateguara	chr_Z	63500001	64000000	0.0017206063088897993	292	21	12205	110
AtlanticForest_Ibateguara	chr_Z	64000001	64500000	0.0008568133135607184	711	26	30345	220
AtlanticForest_Ibateguara	chr_Z	64500001	65000000	0.0023150428529208943	549	47	20302	518
AtlanticForest_Ibateguara	chr_Z	65000001	65500000	0.0	155	0	6975	0
AtlanticForest_Ibateguara	chr_Z	65500001	66000000	0.0036725801431683786	357	59	16065	0
AtlanticForest_Ibateguara	chr_Z	66000001	66500000	0.0007119408298065894	566	18	25283	22
AtlanticForest_Ibateguara	chr_Z	66500001	67000000	0.0	608	0	27360	0
AtlanticForest_Ibateguara	chr_Z	67000001	67500000	0.0	755	0	32836	134
AtlanticForest_Ilheus	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest_Ilheus	chr_Z	3000001	3500000	0.00045351473922902497	441	9	19845	0
AtlanticForest_Ilheus	chr_Z	3500001	4000000	0.0	344	0	15480	0
AtlanticForest_Ilheus	chr_Z	4000001	4500000	0.0	181	0	8145	0
AtlanticForest_Ilheus	chr_Z	4500001	5000000	0.002884044448214437	547	68	23578	122
AtlanticForest_Ilheus	chr_Z	5000001	5500000	0.0014767932489451476	316	21	14220	0
AtlanticForest_Ilheus	chr_Z	5500001	6000000	0.00034602076124567473	578	9	26010	0
AtlanticForest_Ilheus	chr_Z	6000001	6500000	0.0011771771771771772	925	49	41625	0
AtlanticForest_Ilheus	chr_Z	6500001	7000000	0.0016820728075184026	1471	109	64801	164
AtlanticForest_Ilheus	chr_Z	7000001	7500000	0.0008575902955579309	1811	69	80458	122
AtlanticForest_Ilheus	chr_Z	7500001	8000000	0.0012279744269452675	1162	63	51304	116
AtlanticForest_Ilheus	chr_Z	8000001	8500000	0.001060695344725987	1335	63	59395	80
AtlanticForest_Ilheus	chr_Z	8500001	9000000	0.0	225	0	10125	0
AtlanticForest_Ilheus	chr_Z	9000001	9500000	0.001792929292929293	880	71	39600	0
AtlanticForest_Ilheus	chr_Z	9500001	10000000	0.005625879043600563	869	220	39105	0
AtlanticForest_Ilheus	chr_Z	10000001	10500000	0.0006451612903225806	620	18	27900	0
AtlanticForest_Ilheus	chr_Z	10500001	11000000	0.005691056910569106	164	42	7380	0
AtlanticForest_Ilheus	chr_Z	11000001	11500000	0.0007497500833055648	549	18	24008	82
AtlanticForest_Ilheus	chr_Z	11500001	12000000	0.0014634146341463415	410	27	18450	0
AtlanticForest_Ilheus	chr_Z	12000001	12500000	0.0	709	0	30069	216
AtlanticForest_Ilheus	chr_Z	12500001	13000000	0.0022850614110254213	389	40	17505	0
AtlanticForest_Ilheus	chr_Z	13000001	13500000	0.0011904761904761906	168	9	7560	0
AtlanticForest_Ilheus	chr_Z	13500001	14000000	0.0	418	0	18810	0
AtlanticForest_Ilheus	chr_Z	14000001	14500000	0.0	436	0	19501	14
AtlanticForest_Ilheus	chr_Z	14500001	15000000	0.0007679385649148068	926	32	41670	0
AtlanticForest_Ilheus	chr_Z	15000001	15500000	0.0004420744342828724	833	16	36193	152
AtlanticForest_Ilheus	chr_Z	15500001	16000000	0.0	451	0	19360	110
AtlanticForest_Ilheus	chr_Z	16000001	16500000	0.0022483798439359875	529	51	22683	132
AtlanticForest_Ilheus	chr_Z	16500001	17000000	0.002018050339144571	843	72	35678	290
AtlanticForest_Ilheus	chr_Z	17000001	17500000	0.0012184508268059183	383	21	17235	0
AtlanticForest_Ilheus	chr_Z	17500001	18000000	0.004547404547404548	259	53	11655	0
AtlanticForest_Ilheus	chr_Z	18000001	18500000	0.00034502587694077054	605	9	26085	152
AtlanticForest_Ilheus	chr_Z	18500001	19000000	0.000302571860816944	661	9	29745	0
AtlanticForest_Ilheus	chr_Z	19000001	19500000	0.0005356930280544423	1148	27	50402	148
AtlanticForest_Ilheus	chr_Z	19500001	20000000	0.0007262164124909223	765	25	34425	0
AtlanticForest_Ilheus	chr_Z	20000001	20500000	0.0010212418300653595	544	25	24480	0
AtlanticForest_Ilheus	chr_Z	20500001	21000000	0.0032724609821959817	979	143	43698	42
AtlanticForest_Ilheus	chr_Z	21000001	21500000	0.0	490	0	20280	236
AtlanticForest_Ilheus	chr_Z	21500001	22000000	0.0	254	0	11430	0
AtlanticForest_Ilheus	chr_Z	22000001	22500000	0.0029850746268656717	469	63	21105	0
AtlanticForest_Ilheus	chr_Z	22500001	23000000	0.0	616	0	27720	0
AtlanticForest_Ilheus	chr_Z	23000001	23500000	0.0034530771372876636	399	62	17955	0
AtlanticForest_Ilheus	chr_Z	23500001	24000000	0.0	403	0	18135	0
AtlanticForest_Ilheus	chr_Z	24000001	24500000	0.0	223	0	10035	0
AtlanticForest_Ilheus	chr_Z	24500001	25000000	0.0	455	0	20475	0
AtlanticForest_Ilheus	chr_Z	25000001	25500000	0.00041314726404700696	995	18	43568	142
AtlanticForest_Ilheus	chr_Z	25500001	26000000	0.00046166275535721157	1156	24	51986	4
AtlanticForest_Ilheus	chr_Z	26000001	26500000	0.0	412	0	18540	0
AtlanticForest_Ilheus	chr_Z	26500001	27000000	0.0010021378941742383	666	30	29936	4
AtlanticForest_Ilheus	chr_Z	27000001	27500000	0.0018125793003443901	613	50	27585	0
AtlanticForest_Ilheus	chr_Z	27500001	28000000	0.002011494252873563	232	21	10440	0
AtlanticForest_Ilheus	chr_Z	28000001	28500000	0.0	171	0	7695	0
AtlanticForest_Ilheus	chr_Z	28500001	29000000	0.0	79	0	3555	0
AtlanticForest_Ilheus	chr_Z	29000001	29500000	0.0007936507936507937	252	9	11340	0
AtlanticForest_Ilheus	chr_Z	29500001	30000000	0.000351493848857645	569	9	25605	0
AtlanticForest_Ilheus	chr_Z	30000001	30500000	0.0029016277423920735	314	41	14130	0
AtlanticForest_Ilheus	chr_Z	30500001	31000000	0.0010347376201034738	451	21	20295	0
AtlanticForest_Ilheus	chr_Z	31000001	31500000	0.001897018970189702	246	21	11070	0
AtlanticForest_Ilheus	chr_Z	31500001	32000000	0.0006633499170812604	603	18	27135	0
AtlanticForest_Ilheus	chr_Z	32000001	32500000	0.002932551319648094	341	45	15345	0
AtlanticForest_Ilheus	chr_Z	32500001	33000000	0.0025727069351230425	596	69	26820	0
AtlanticForest_Ilheus	chr_Z	33000001	33500000	0.00028818443804034583	694	9	31230	0
AtlanticForest_Ilheus	chr_Z	33500001	34000000	0.0007884658706915972	610	21	26634	96
AtlanticForest_Ilheus	chr_Z	34000001	34500000	0.000903954802259887	590	24	26550	0
AtlanticForest_Ilheus	chr_Z	34500001	35000000	0.0	178	0	8010	0
AtlanticForest_Ilheus	chr_Z	35000001	35500000	0.0044444444444444444	105	21	4725	0
AtlanticForest_Ilheus	chr_Z	35500001	36000000	0.00042918454935622315	466	9	20970	0
AtlanticForest_Ilheus	chr_Z	36000001	36500000	0.0	534	0	24030	0
AtlanticForest_Ilheus	chr_Z	36500001	37000000	0.0005298013245033113	755	18	33975	0
AtlanticForest_Ilheus	chr_Z	37000001	37500000	0.0003215434083601286	622	9	27990	0
AtlanticForest_Ilheus	chr_Z	37500001	38000000	0.0012911352542906629	729	41	31755	140
AtlanticForest_Ilheus	chr_Z	38000001	38500000	0.0	532	0	23940	0
AtlanticForest_Ilheus	chr_Z	38500001	39000000	0.0	652	0	28065	150
AtlanticForest_Ilheus	chr_Z	39000001	39500000	0.0007662835249042146	464	16	20880	0
