pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest	chr_Z	3000001	3500000	0.00210054283691291	446	178	84740	0
AtlanticForest	chr_Z	3500001	4000000	0.0011547163922914878	348	74	64085	110
AtlanticForest	chr_Z	4000001	4500000	0.0	182	0	31620	160
AtlanticForest	chr_Z	4500001	5000000	0.003031506763396124	551	290	95662	488
AtlanticForest	chr_Z	5000001	5500000	0.0007882981518787772	317	45	57085	170
AtlanticForest	chr_Z	5500001	6000000	0.00017211703958691912	581	19	110390	0
AtlanticForest	chr_Z	6000001	6500000	0.0019518248998702545	933	346	177270	0
AtlanticForest	chr_Z	6500001	7000000	0.002257336343115124	1482	610	270230	652
AtlanticForest	chr_Z	7000001	7500000	0.0018650107011210558	1829	637	341553	322
AtlanticForest	chr_Z	7500001	8000000	0.0016482233739552692	1172	353	214170	460
AtlanticForest	chr_Z	8000001	8500000	0.0016305893759289752	1347	407	249603	342
AtlanticForest	chr_Z	8500001	9000000	0.0	225	0	42750	0
AtlanticForest	chr_Z	9000001	9500000	0.001944929676385312	898	324	166587	218
AtlanticForest	chr_Z	9500001	10000000	0.005669132229858677	882	909	160342	396
AtlanticForest	chr_Z	10000001	10500000	0.002145592559666279	627	251	116984	116
AtlanticForest	chr_Z	10500001	11000000	0.007518022657054583	165	219	29130	120
AtlanticForest	chr_Z	11000001	11500000	0.001436583685919512	550	146	101630	164
AtlanticForest	chr_Z	11500001	12000000	0.002267084098024398	413	168	74104	236
AtlanticForest	chr_Z	12000001	12500000	0.0012461158728003258	714	156	125189	582
AtlanticForest	chr_Z	12500001	13000000	0.0018950755303484758	395	139	73348	92
AtlanticForest	chr_Z	13000001	13500000	0.0006202056471356291	170	19	30635	90
AtlanticForest	chr_Z	13500001	14000000	0.0	422	0	80180	0
AtlanticForest	chr_Z	14000001	14500000	0.0032651284283848497	444	255	78098	340
AtlanticForest	chr_Z	14500001	15000000	0.0009223995970868017	940	163	176713	102
AtlanticForest	chr_Z	15000001	15500000	0.0004739640043553449	849	74	156130	280
AtlanticForest	chr_Z	15500001	16000000	0.0006285122744750074	452	51	81144	256
AtlanticForest	chr_Z	16000001	16500000	0.0021237463291705195	531	209	98411	134
AtlanticForest	chr_Z	16500001	17000000	0.00334812193274476	854	526	157103	290
AtlanticForest	chr_Z	17000001	17500000	0.00446434938882629	384	313	70111	154
AtlanticForest	chr_Z	17500001	18000000	0.002930622009569378	264	147	50160	0
AtlanticForest	chr_Z	18000001	18500000	0.0010866389071517277	611	119	109512	364
AtlanticForest	chr_Z	18500001	19000000	0.00045223738495715646	677	57	126040	140
AtlanticForest	chr_Z	19000001	19500000	0.0007713888212903314	1178	168	217789	326
AtlanticForest	chr_Z	19500001	20000000	0.001557900832029338	775	226	145067	118
AtlanticForest	chr_Z	20000001	20500000	0.0013971291866028707	550	146	104500	0
AtlanticForest	chr_Z	20500001	21000000	0.004393165424415245	988	768	174817	702
AtlanticForest	chr_Z	21000001	21500000	0.0	491	0	86126	400
AtlanticForest	chr_Z	21500001	22000000	0.0	256	0	48640	0
AtlanticForest	chr_Z	22000001	22500000	0.002452407614781635	470	219	89300	0
AtlanticForest	chr_Z	22500001	23000000	0.00032521500325215	620	36	110696	384
AtlanticForest	chr_Z	23000001	23500000	0.0026859698365587353	403	200	74461	114
AtlanticForest	chr_Z	23500001	24000000	0.0009746588693957114	405	75	76950	0
AtlanticForest	chr_Z	24000001	24500000	0.0	223	0	40446	104
AtlanticForest	chr_Z	24500001	25000000	0.0002173913043478261	460	19	87400	0
AtlanticForest	chr_Z	25000001	25500000	0.0007841333235752298	1022	150	191294	156
AtlanticForest	chr_Z	25500001	26000000	0.0015841638399766256	1192	347	219043	402
AtlanticForest	chr_Z	26000001	26500000	0.0	413	0	78470	0
AtlanticForest	chr_Z	26500001	27000000	0.0011973064622406505	669	149	124446	144
AtlanticForest	chr_Z	27000001	27500000	0.0015820890416816324	617	185	116934	16
AtlanticForest	chr_Z	27500001	28000000	0.0011569872958257714	232	51	44080	0
AtlanticForest	chr_Z	28000001	28500000	0.0	171	0	29863	142
AtlanticForest	chr_Z	28500001	29000000	0.0	79	0	15010	0
AtlanticForest	chr_Z	29000001	29500000	0.0007936507936507937	252	38	47880	0
AtlanticForest	chr_Z	29500001	30000000	0.0012514439738159414	574	130	103880	280
AtlanticForest	chr_Z	30000001	30500000	0.0019410345189382016	315	111	57186	144
AtlanticForest	chr_Z	30500001	31000000	0.004016590784486663	456	337	83902	148
AtlanticForest	chr_Z	31000001	31500000	0.007376875924751638	249	349	47310	0
AtlanticForest	chr_Z	31500001	32000000	0.0011014125616102652	604	120	108951	314
AtlanticForest	chr_Z	32000001	32500000	0.002071505293846862	343	135	65170	0
AtlanticForest	chr_Z	32500001	33000000	0.0018503381807403148	599	206	111331	134
AtlanticForest	chr_Z	33000001	33500000	0.00106644663096276	703	137	128464	276
AtlanticForest	chr_Z	33500001	34000000	0.0011915269196822594	614	135	113300	192
AtlanticForest	chr_Z	34000001	34500000	0.0005661211853162317	595	64	113050	0
AtlanticForest	chr_Z	34500001	35000000	0.0010644589000591367	178	36	33820	0
AtlanticForest	chr_Z	35000001	35500000	0.00253227408142999	106	51	20140	0
AtlanticForest	chr_Z	35500001	36000000	0.0014651189000338103	467	130	88730	0
AtlanticForest	chr_Z	36000001	36500000	0.0	539	0	102410	0
AtlanticForest	chr_Z	36500001	37000000	0.00147815333279671	758	202	136657	398
AtlanticForest	chr_Z	37000001	37500000	0.0006569611604561939	625	75	114162	248
AtlanticForest	chr_Z	37500001	38000000	0.0006852564440461758	735	91	132797	378
AtlanticForest	chr_Z	38000001	38500000	0.0003745318352059925	534	38	101460	0
AtlanticForest	chr_Z	38500001	39000000	0.00046846106431066366	655	57	121675	150
AtlanticForest	chr_Z	39000001	39500000	0.0009528130671506353	464	84	88160	0
AtlanticForest	chr_Z	39500001	40000000	0.0013172541743970314	581	142	107800	140
AtlanticForest	chr_Z	40000001	40500000	0.0002191439545103286	483	19	86701	274
AtlanticForest	chr_Z	40500001	41000000	0.0	213	0	36252	228
AtlanticForest	chr_Z	41000001	41500000	0.00035742298031195085	549	36	100721	194
AtlanticForest	chr_Z	41500001	42000000	0.0015852885225110971	249	75	47310	0
AtlanticForest	chr_Z	42000001	42500000	0.0009821939156360905	1216	225	229079	106
AtlanticForest	chr_Z	42500001	43000000	0.001296355541336746	1621	389	300072	428
AtlanticForest	chr_Z	43000001	43500000	0.000700652008015102	1222	157	224077	438
AtlanticForest	chr_Z	43500001	44000000	0.0003654933652801608	526	36	98497	78
AtlanticForest	chr_Z	44000001	44500000	0.0	55	0	10450	0
AtlanticForest	chr_Z	44500001	45000000	0.001616994292961319	166	51	31540	0
AtlanticForest	chr_Z	45000001	45500000	0.0	282	0	52100	80
AtlanticForest	chr_Z	45500001	46000000	0.0	255	0	45749	146
AtlanticForest	chr_Z	46000001	46500000	0.0016127735448384151	1155	341	211437	474
AtlanticForest	chr_Z	46500001	47000000	0.0019433198380566803	325	120	61750	0
AtlanticForest	chr_Z	47000001	47500000	0.003453416905008215	367	227	65732	228
AtlanticForest	chr_Z	47500001	48000000	0.0012678179824561404	483	111	87552	228
AtlanticForest	chr_Z	48000001	48500000	0.001731748726655348	155	51	29450	0
AtlanticForest	chr_Z	48500001	49000000	0.004814274492200651	469	429	89110	0
AtlanticForest	chr_Z	49000001	49500000	0.0038772213247172858	470	324	83565	310
AtlanticForest	chr_Z	49500001	50000000	0.0016730993410283823	914	277	165561	438
AtlanticForest	chr_Z	50000001	50500000	0.004503690314806447	417	299	66390	712
AtlanticForest	chr_Z	50500001	51000000	0.0017204027016694279	413	135	78470	0
AtlanticForest	chr_Z	51000001	51500000	0.0014905597880092746	812	225	150950	180
AtlanticForest	chr_Z	51500001	52000000	0.0005314603697296847	537	51	95962	328
AtlanticForest	chr_Z	52000001	52500000	0.0024957374780696334	668	303	121407	298
AtlanticForest	chr_Z	52500001	53000000	0.004464930596593521	415	340	76149	146
AtlanticForest	chr_Z	53000001	53500000	0.0028316478286734086	456	238	84050	140
AtlanticForest	chr_Z	53500001	54000000	0.003808073115003808	146	100	26260	80
AtlanticForest	chr_Z	54000001	54500000	NA	0	0	0	0
AtlanticForest	chr_Z	54500001	55000000	0.0029748908296943232	410	218	73280	264
AtlanticForest	chr_Z	55000001	55500000	0.00194211369850099	852	309	159105	150
AtlanticForest	chr_Z	55500001	56000000	0.004176307265155021	502	361	86440	552
AtlanticForest	chr_Z	56000001	56500000	0.006724465584904812	503	598	88929	370
AtlanticForest	chr_Z	56500001	57000000	0.0021422176748944876	330	134	62552	8
AtlanticForest	chr_Z	57000001	57500000	0.006062160775524532	398	449	74066	84
AtlanticForest	chr_Z	57500001	58000000	0.0025500142800799685	818	375	147058	452
AtlanticForest	chr_Z	58000001	58500000	0.0037418678156846625	391	264	70553	202
AtlanticForest	chr_Z	58500001	59000000	0.003988304093567252	450	341	85500	0
AtlanticForest	chr_Z	59000001	59500000	0.003803680981595092	815	589	154850	0
AtlanticForest	chr_Z	59500001	60000000	0.002134855210314944	498	202	94620	0
AtlanticForest	chr_Z	60000001	60500000	0.004981284073510051	1316	1207	242307	418
AtlanticForest	chr_Z	60500001	61000000	0.004187983228834096	1132	871	207976	384
AtlanticForest	chr_Z	61000001	61500000	0.0034240250053278395	774	482	140770	340
AtlanticForest	chr_Z	61500001	62000000	0.004110618471481175	721	547	133070	224
AtlanticForest	chr_Z	62000001	62500000	0.005188850006033546	501	473	91157	218
AtlanticForest	chr_Z	62500001	63000000	0.005882505713692084	811	906	154016	4
AtlanticForest	chr_Z	63000001	63500000	0.004411514222449327	309	259	58710	0
AtlanticForest	chr_Z	63500001	64000000	0.001691827173347215	294	91	53788	112
AtlanticForest	chr_Z	64000001	64500000	0.0011537774022133025	713	142	123074	752
AtlanticForest	chr_Z	64500001	65000000	0.004891286506833576	560	447	91387	866
AtlanticForest	chr_Z	65000001	65500000	0.0	155	0	27526	104
AtlanticForest	chr_Z	65500001	66000000	0.0026955388831483894	361	180	66777	98
AtlanticForest	chr_Z	66000001	66500000	0.0017826801481852874	569	192	107703	22
AtlanticForest	chr_Z	66500001	67000000	0.0	609	0	115710	0
AtlanticForest	chr_Z	67000001	67500000	0.00019889188805228015	766	28	140780	272
Inambari	chr_Z	1	500000	NA	0	0	0	0
Inambari	chr_Z	500001	1000000	NA	0	0	0	0
Inambari	chr_Z	1000001	1500000	NA	0	0	0	0
Inambari	chr_Z	1500001	2000000	NA	0	0	0	0
Inambari	chr_Z	2000001	2500000	NA	0	0	0	0
Inambari	chr_Z	2500001	3000000	NA	0	0	0	0
Inambari	chr_Z	3000001	3500000	0.0045100429275531295	446	851	188690	1100
Inambari	chr_Z	3500001	4000000	0.002825885407009086	348	381	134825	1286
Inambari	chr_Z	4000001	4500000	0.0021374547846103255	182	182	85148	168
Inambari	chr_Z	4500001	5000000	0.0025513178699527518	551	547	214399	2050
Inambari	chr_Z	5000001	5500000	0.0016175854648391803	317	224	138478	620
Inambari	chr_Z	5500001	6000000	0.0017225466469885206	581	405	235117	1798
Inambari	chr_Z	6000001	6500000	0.0026481735002933608	933	1002	378374	2916
Inambari	chr_Z	6500001	7000000	0.002758580067541035	1482	1686	611184	4216
Inambari	chr_Z	7000001	7500000	0.002517809238260556	1829	1787	709744	6808
Inambari	chr_Z	7500001	8000000	0.0017626571525654095	1172	913	517968	2128
Inambari	chr_Z	8000001	8500000	0.0036811437454463886	1347	2117	575093	3174
Inambari	chr_Z	8500001	9000000	0.0017915642915642916	225	175	97680	464
Inambari	chr_Z	9000001	9500000	0.003997982380218155	898	1395	348926	3324
Inambari	chr_Z	9500001	10000000	0.004618401727372803	882	1632	353369	2870
Inambari	chr_Z	10000001	10500000	0.0029974330707394203	627	745	248546	2164
Inambari	chr_Z	10500001	11000000	0.002760226139008979	165	166	60140	760
Inambari	chr_Z	11000001	11500000	0.0018094006588777146	550	396	218857	1838
Inambari	chr_Z	11500001	12000000	0.0020294327082838832	413	342	168520	1240
Inambari	chr_Z	12000001	12500000	0.0007085358163000334	714	191	269570	2924
Inambari	chr_Z	12500001	13000000	0.0051107634127334125	395	846	165533	1054
Inambari	chr_Z	13000001	13500000	0.004047206617992262	170	250	61771	794
Inambari	chr_Z	13500001	14000000	0.003294854957259049	422	572	173604	1216
Inambari	chr_Z	14000001	14500000	0.002232808161515172	444	427	191239	970
Inambari	chr_Z	14500001	15000000	0.0008184346444179578	940	309	377550	3012
Inambari	chr_Z	15000001	15500000	0.0010727487219819112	849	341	317875	3594
Inambari	chr_Z	15500001	16000000	0.001838887052672696	452	306	166405	1998
Inambari	chr_Z	16000001	16500000	0.001440484152335876	531	308	213817	1686
Inambari	chr_Z	16500001	17000000	0.0035971325877909087	854	1258	349723	2586
Inambari	chr_Z	17000001	17500000	0.002051323576050797	384	304	148197	1438
Inambari	chr_Z	17500001	18000000	0.0019485892747510877	264	219	112389	614
Inambari	chr_Z	18000001	18500000	0.0019419784400760939	611	490	252320	1728
Inambari	chr_Z	18500001	19000000	0.0006085747410668547	677	158	259623	2674
Inambari	chr_Z	19000001	19500000	0.0010332162214946774	1178	492	476183	3706
Inambari	chr_Z	19500001	20000000	0.0024896290817894894	775	818	328563	1922
