pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	1	500000	0.004989738327347357	1585	778	155920	2580
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	500001	1000000	0.009230315541138307	687	626	67820	880
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	1000001	1500000	0.0070361445783132534	415	292	41500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	1500001	2000000	0.00818447547905164	616	504	61580	20
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	2000001	2500000	0.011132370847103844	1192	1280	114980	4220
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	2500001	3000000	0.004212454212454212	341	138	32760	1340
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	3000001	3500000	0.002190954773869347	995	218	99500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	3500001	4000000	0.006637793051501742	442	282	42484	1716
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	4000001	4500000	0.0049533195020746885	789	382	77120	1780
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	4500001	5000000	0.010128891050583658	1677	1666	164480	3220
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	5000001	5500000	0.007121336620104081	2539	1768	248268	5632
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_22	5500001	6000000	0.006096621547265324	1819	1108	181740	160
AtlanticForest_Ibateguara	InambariE	chr_22	1	500000	0.004927940492794049	1585	636	129060	29440
AtlanticForest_Ibateguara	InambariE	chr_22	500001	1000000	0.00961877246141921	687	546	56764	11936
AtlanticForest_Ibateguara	InambariE	chr_22	1000001	1500000	0.006334310850439883	415	216	34100	7400
AtlanticForest_Ibateguara	InambariE	chr_22	1500001	2000000	0.010014469575812961	616	526	52524	9076
AtlanticForest_Ibateguara	InambariE	chr_22	2000001	2500000	0.011317835769246427	1192	1112	98252	20948
AtlanticForest_Ibateguara	InambariE	chr_22	2500001	3000000	0.004273504273504274	341	112	26208	7892
AtlanticForest_Ibateguara	InambariE	chr_22	3000001	3500000	0.0026392961876832845	995	216	81840	17660
AtlanticForest_Ibateguara	InambariE	chr_22	3500001	4000000	0.008777929776561787	442	308	35088	9112
AtlanticForest_Ibateguara	InambariE	chr_22	4000001	4500000	0.004624456859093731	789	298	64440	14460
AtlanticForest_Ibateguara	InambariE	chr_22	4500001	5000000	0.010224978367464667	1677	1418	138680	29020
AtlanticForest_Ibateguara	InambariE	chr_22	5000001	5500000	0.006986949994225661	2539	1452	207816	46084
AtlanticForest_Ibateguara	InambariE	chr_22	5500001	6000000	0.008201977023777719	1819	1228	149720	32180
AtlanticForest_Ibateguara	InambariW	chr_22	1	500000	0.004845814977973568	1585	1518	313260	35440
AtlanticForest_Ibateguara	InambariW	chr_22	500001	1000000	0.00877341936944586	687	1240	141336	9804
AtlanticForest_Ibateguara	InambariW	chr_22	1000001	1500000	0.007164179104477612	415	624	87100	4200
AtlanticForest_Ibateguara	InambariW	chr_22	1500001	2000000	0.008402722907676411	616	1106	131624	3896
AtlanticForest_Ibateguara	InambariW	chr_22	2000001	2500000	0.011439603994080325	1192	2690	235148	27092
AtlanticForest_Ibateguara	InambariW	chr_22	2500001	3000000	0.003279065753897486	341	228	69532	5488
