pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest	Inambari	chr_4A	100001	600000	0.0051862771681343576	8
AtlanticForest	Inambari	chr_4A	600001	1100000	0.1609034435937234	13
AtlanticForest	Inambari	chr_4A	1100001	1600000	0.1493504031172609	10
AtlanticForest	Inambari	chr_4A	1600001	2100000	0.2023588309822515	8
AtlanticForest	Inambari	chr_4A	2100001	2600000	0.0825755236110064	17
AtlanticForest	Inambari	chr_4A	2600001	3100000	0.41067599448400116	8
AtlanticForest	Inambari	chr_4A	3100001	3600000	0.28987678309795833	10
AtlanticForest	Inambari	chr_4A	3600001	4100000	0.10405337598566314	6
AtlanticForest	Inambari	chr_4A	4100001	4600000	0.09171931286493318	6
AtlanticForest	Inambari	chr_4A	4600001	5100000	-0.03685890959059071	1
AtlanticForest	Inambari	chr_4A	5100001	5600000	0.19636989122880924	1
AtlanticForest	Inambari	chr_4A	5600001	6100000	0.002118644067796477	1
AtlanticForest	Inambari	chr_4A	6100001	6600000	0.02004208876187946	3
AtlanticForest	Inambari	chr_4A	6600001	7100000	0.14395401616221581	1
AtlanticForest	Inambari	chr_4A	7100001	7600000	-0.008659439761429365	3
AtlanticForest	Inambari	chr_4A	7600001	8100000	0.05852177118357219	2
AtlanticForest	Inambari	chr_4A	8100001	8600000	0.05302833553385818	21
AtlanticForest	Inambari	chr_4A	8600001	9100000	0.11009900815304229	8
AtlanticForest	Inambari	chr_4A	9100001	9600000	0.09576452304705105	9
AtlanticForest	Inambari	chr_4A	9600001	10100000	0.1558738805677295	5
AtlanticForest	Inambari	chr_4A	10100001	10600000	0.13278775888690597	12
AtlanticForest	Inambari	chr_4A	10600001	11100000	0.015594120346572187	10
AtlanticForest	Inambari	chr_4A	11100001	11600000	-0.001696287500115458	12
AtlanticForest	Inambari	chr_4A	11600001	12100000	0.004673417438527101	8
AtlanticForest	Inambari	chr_4A	12100001	12600000	0.08331709270154622	6
AtlanticForest	Inambari	chr_4A	12600001	13100000	0.0723277299034393	8
AtlanticForest	Inambari	chr_4A	13100001	13600000	0.16690550174031968	7
AtlanticForest	Inambari	chr_4A	13600001	14100000	0.028050154315843505	2
AtlanticForest	Inambari	chr_4A	14100001	14600000	0.1697642205240765	7
AtlanticForest	Inambari	chr_4A	14600001	15100000	-0.02833761772080276	4
AtlanticForest	Inambari	chr_4A	15100001	15600000	-0.021837101930518067	5
AtlanticForest	Inambari	chr_4A	15600001	16100000	-0.026559143726136762	2
AtlanticForest	Inambari	chr_4A	16100001	16600000	-0.028593518458281123	4
AtlanticForest	Inambari	chr_4A	16600001	17100000	-0.03685890959059071	1
AtlanticForest	Inambari	chr_4A	17100001	17600000	0.09043202622899953	4
AtlanticForest	Inambari	chr_4A	17600001	18100000	0.12451080329637519	9
AtlanticForest	Inambari	chr_4A	18100001	18600000	0.07885602896185913	20
AtlanticForest	Inambari	chr_4A	18600001	19100000	0.10336902931079439	15
AtlanticForest	Inambari	chr_4A	19100001	19600000	0.01997177141913114	8
AtlanticForest	Inambari	chr_4A	19600001	20100000	0.09503554498224961	13
AtlanticForest	Inambari	chr_4A	20100001	20600000	0.1449587094359622	9
AtlanticForest	Inambari	chr_4A	21100001	21600000	0.08248456976087526	5
AtlanticForest	Inambari	chr_4A	22100001	22600000	0.10911821880287147	5
AtlanticForest	Inambari	chr_4A	22600001	23100000	0.0484205672123587	2
AtlanticForest	Rondonia	chr_4A	100001	600000	-0.005805225426849023	8
AtlanticForest	Rondonia	chr_4A	600001	1100000	0.11800540905312128	13
AtlanticForest	Rondonia	chr_4A	1100001	1600000	0.049476990073198834	10
AtlanticForest	Rondonia	chr_4A	1600001	2100000	0.15148446015947473	8
AtlanticForest	Rondonia	chr_4A	2100001	2600000	0.03962469038482691	17
AtlanticForest	Rondonia	chr_4A	2600001	3100000	0.26996365418016927	8
AtlanticForest	Rondonia	chr_4A	3100001	3600000	0.265001171814792	10
AtlanticForest	Rondonia	chr_4A	3600001	4100000	0.03671992490696016	6
AtlanticForest	Rondonia	chr_4A	4100001	4600000	0.0322693763963867	6
AtlanticForest	Rondonia	chr_4A	4600001	5100000	-0.03174603174603143	1
AtlanticForest	Rondonia	chr_4A	5100001	5600000	0.02777777777777778	1
AtlanticForest	Rondonia	chr_4A	5600001	6100000	-0.046687416629612705	1
AtlanticForest	Rondonia	chr_4A	6100001	6600000	0.10824898253725458	3
AtlanticForest	Rondonia	chr_4A	6600001	7100000	NA	1
AtlanticForest	Rondonia	chr_4A	7100001	7600000	0.04509470726594451	3
AtlanticForest	Rondonia	chr_4A	7600001	8100000	0.1254130151883855	2
AtlanticForest	Rondonia	chr_4A	8100001	8600000	0.06320074342471149	21
AtlanticForest	Rondonia	chr_4A	8600001	9100000	0.08121986117634158	8
AtlanticForest	Rondonia	chr_4A	9100001	9600000	0.15295399664463866	9
AtlanticForest	Rondonia	chr_4A	9600001	10100000	0.09290239004465434	5
AtlanticForest	Rondonia	chr_4A	10100001	10600000	0.08735412116891539	12
AtlanticForest	Rondonia	chr_4A	10600001	11100000	0.03380595583154067	10
AtlanticForest	Rondonia	chr_4A	11100001	11600000	0.01858790683947464	12
AtlanticForest	Rondonia	chr_4A	11600001	12100000	-0.04124588173106931	8
AtlanticForest	Rondonia	chr_4A	12100001	12600000	0.13018009252615434	6
AtlanticForest	Rondonia	chr_4A	12600001	13100000	0.046657385998569376	8
AtlanticForest	Rondonia	chr_4A	13100001	13600000	0.11392248420610382	7
AtlanticForest	Rondonia	chr_4A	13600001	14100000	-0.03535555772408037	2
AtlanticForest	Rondonia	chr_4A	14100001	14600000	0.08626968956168335	7
AtlanticForest	Rondonia	chr_4A	14600001	15100000	-0.005529777960666443	4
AtlanticForest	Rondonia	chr_4A	15100001	15600000	0.015889180242845767	5
AtlanticForest	Rondonia	chr_4A	15600001	16100000	-0.05937011717244294	2
AtlanticForest	Rondonia	chr_4A	16100001	16600000	-0.0019426214934097309	4
AtlanticForest	Rondonia	chr_4A	16600001	17100000	0.04805702460335621	1
AtlanticForest	Rondonia	chr_4A	17100001	17600000	0.086294063732708	4
AtlanticForest	Rondonia	chr_4A	17600001	18100000	0.06103746667262985	9
AtlanticForest	Rondonia	chr_4A	18100001	18600000	0.03447134123594896	20
AtlanticForest	Rondonia	chr_4A	18600001	19100000	0.09633660636237767	15
AtlanticForest	Rondonia	chr_4A	19100001	19600000	0.04093303976110213	8
AtlanticForest	Rondonia	chr_4A	19600001	20100000	0.12649649006346939	13
AtlanticForest	Rondonia	chr_4A	20100001	20600000	0.12473394423449866	9
AtlanticForest	Rondonia	chr_4A	21100001	21600000	0.09254713809944498	5
AtlanticForest	Rondonia	chr_4A	22100001	22600000	0.14750426086365254	5
AtlanticForest	Rondonia	chr_4A	22600001	23100000	0.0642258791171089	2
AtlanticForest	RondoniaHeadwaters	chr_4A	100001	600000	0.2244546127175833	8
AtlanticForest	RondoniaHeadwaters	chr_4A	600001	1100000	0.10419707540146067	13
AtlanticForest	RondoniaHeadwaters	chr_4A	1100001	1600000	-0.10969880964516414	10
AtlanticForest	RondoniaHeadwaters	chr_4A	1600001	2100000	0.07455692587009949	8
AtlanticForest	RondoniaHeadwaters	chr_4A	2100001	2600000	0.07111931952089104	17
AtlanticForest	RondoniaHeadwaters	chr_4A	2600001	3100000	0.13403986012485788	8
AtlanticForest	RondoniaHeadwaters	chr_4A	3100001	3600000	0.33038663675505253	10
AtlanticForest	RondoniaHeadwaters	chr_4A	3600001	4100000	0.004820196118013262	6
AtlanticForest	RondoniaHeadwaters	chr_4A	4100001	4600000	-0.05008768362108263	6
AtlanticForest	RondoniaHeadwaters	chr_4A	4600001	5100000	-0.040723981900452004	1
AtlanticForest	RondoniaHeadwaters	chr_4A	5100001	5600000	0.16336718884489596	1
AtlanticForest	RondoniaHeadwaters	chr_4A	5600001	6100000	-0.09374999999999996	1
AtlanticForest	RondoniaHeadwaters	chr_4A	6100001	6600000	-0.08716475095785355	3
AtlanticForest	RondoniaHeadwaters	chr_4A	6600001	7100000	NA	1
AtlanticForest	RondoniaHeadwaters	chr_4A	7100001	7600000	0.0788440108876345	3
