pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	1	500000	0.004100946372239748	577	234	57060	640
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	500001	1000000	0.011359593392630242	787	894	78700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	1000001	1500000	0.019543973941368076	278	504	25788	2012
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	1500001	2000000	0.0008849557522123894	226	20	22600	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	2000001	2500000	0.010627400768245839	781	830	78100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	2500001	3000000	0.008090614886731391	518	400	49440	2360
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	3000001	3500000	0.004346446700507614	645	274	63040	1460
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	3500001	4000000	0.003281853281853282	223	68	20720	1580
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	4000001	4500000	0.006464646464646465	297	192	29700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	4500001	5000000	0.004322766570605188	347	150	34700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	5000001	5500000	0.0072	500	360	50000	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	5500001	6000000	0.005217819345311347	823	424	81260	1040
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	6000001	6500000	0.007502206531332745	916	680	90640	960
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	6500001	7000000	0.002577319587628866	388	100	38800	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	7000001	7500000	0.0025477707006369425	157	40	15700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	7500001	8000000	0.0056	75	42	7500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	8000001	8500000	0.002967359050445104	135	40	13480	20
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	8500001	9000000	0.006153846153846154	117	72	11700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	9000001	9500000	0.012163742690058479	171	208	17100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	9500001	10000000	0.012592592592592593	81	102	8100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	10000001	10500000	0.0024719101123595504	445	110	44500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	10500001	11000000	0.009524547003252285	277	246	25828	1872
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	11000001	11500000	0.005939765755716676	726	426	71720	880
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	11500001	12000000	0.008368554522400677	255	198	23660	1840
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	12000001	12500000	0.0040609137055837565	197	80	19700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	12500001	13000000	0.008384279475982533	458	384	45800	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	13000001	13500000	0.007450980392156863	204	152	20400	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	13500001	14000000	0.004926590538336053	613	302	61300	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	14000001	14500000	0.005483870967741935	248	136	24800	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	14500001	15000000	0.00899665551839465	607	538	59800	900
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	15000001	15500000	0.008329101066531234	407	328	39380	1320
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	15500001	16000000	0.0008737864077669903	412	36	41200	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	16000001	16500000	0.0071491875923190545	693	484	67700	1600
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	16500001	17000000	0.006511056511056511	704	424	65120	5280
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	17000001	17500000	0.004701049748973072	440	206	43820	180
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	17500001	18000000	0.0012315270935960591	89	10	8120	780
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	18000001	18500000	0.007368421052631579	95	70	9500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	18500001	19000000	0.003582089552238806	134	48	13400	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	19000001	19500000	0.0053941908713692945	241	130	24100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	19500001	20000000	0.0030985915492957746	355	110	35500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	20000001	20500000	0.0025365853658536586	205	52	20500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	20500001	21000000	0.005325749741468459	387	206	38680	20
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	21000001	21500000	0.004166666666666667	144	60	14400	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	21500001	22000000	0.001081081081081081	370	40	37000	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	22000001	22500000	0.0	135	0	13500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	22500001	23000000	0.002025862068965517	464	94	46400	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	23000001	23500000	0.0	45	0	4500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	23500001	24000000	0.0	129	0	12900	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	24000001	24500000	0.007458563535911602	451	324	43440	1660
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	24500001	25000000	0.0	119	0	11900	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	25000001	25500000	0.0035480859010270775	215	76	21420	80
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_1A	25500001	26000000	0.004129554655870445	247	102	24700	0
