pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	Inambari	chr_1A	1	500000	0.005689150287869764	577	1834	322368	46912
AtlanticForest	Inambari	chr_1A	500001	1000000	0.013356407525736599	787	6020	450720	52960
AtlanticForest	Inambari	chr_1A	1000001	1500000	0.020176110260336905	278	3162	156720	21200
AtlanticForest	Inambari	chr_1A	1500001	2000000	0.0029787234042553193	226	392	131600	13040
AtlanticForest	Inambari	chr_1A	2000001	2500000	0.0095	781	4104	432000	67840
AtlanticForest	Inambari	chr_1A	2500001	3000000	0.009563189143341816	518	2706	282960	48560
AtlanticForest	Inambari	chr_1A	3000001	3500000	0.004646191431812233	645	1704	366752	46048
AtlanticForest	Inambari	chr_1A	3500001	4000000	0.0030804374913470855	223	356	115568	27152
AtlanticForest	Inambari	chr_1A	4000001	4500000	0.0077970939283860926	297	1202	154160	35920
AtlanticForest	Inambari	chr_1A	4500001	5000000	0.004525728456292622	347	876	193560	28520
AtlanticForest	Inambari	chr_1A	5000001	5500000	0.008404558404558405	500	2360	280800	39200
AtlanticForest	Inambari	chr_1A	5500001	6000000	0.00666342327941202	823	3068	460424	66296
AtlanticForest	Inambari	chr_1A	6000001	6500000	0.009579424442190669	916	4836	504832	81408
AtlanticForest	Inambari	chr_1A	6500001	7000000	0.0031797798613942114	388	624	196240	52080
AtlanticForest	Inambari	chr_1A	7000001	7500000	0.0012260912211868563	157	100	81560	18920
AtlanticForest	Inambari	chr_1A	7500001	8000000	0.004666666666666667	75	196	42000	6000
AtlanticForest	Inambari	chr_1A	8000001	8500000	0.0061312241214566306	135	462	75352	11048
AtlanticForest	Inambari	chr_1A	8500001	9000000	0.0053948161543098255	117	358	66360	8520
AtlanticForest	Inambari	chr_1A	9000001	9500000	0.01128023352793995	171	1082	95920	13520
AtlanticForest	Inambari	chr_1A	9500001	10000000	0.013094128611369991	81	562	42920	8920
AtlanticForest	Inambari	chr_1A	10000001	10500000	0.0041987797045600515	445	1046	249120	35680
AtlanticForest	Inambari	chr_1A	10500001	11000000	0.00855101166898619	277	1278	149456	27824
AtlanticForest	Inambari	chr_1A	11000001	11500000	0.0061731967513552095	726	2560	414696	49944
AtlanticForest	Inambari	chr_1A	11500001	12000000	0.009913840715784822	255	1436	144848	18352
AtlanticForest	Inambari	chr_1A	12000001	12500000	0.004817618719889883	197	560	116240	9840
AtlanticForest	Inambari	chr_1A	12500001	13000000	0.008303750578793024	458	2152	259160	33960
AtlanticForest	Inambari	chr_1A	13000001	13500000	0.008847596317763383	204	1038	117320	13240
AtlanticForest	Inambari	chr_1A	13500001	14000000	0.005665230916487198	613	1894	334320	58000
AtlanticForest	Inambari	chr_1A	14000001	14500000	0.004106548279689234	248	592	144160	14560
AtlanticForest	Inambari	chr_1A	14500001	15000000	0.00881362160837876	607	2878	326540	61940
AtlanticForest	Inambari	chr_1A	15000001	15500000	0.008545258219458614	407	1836	214856	45624
