pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	Inambari	chr_5	1	500000	0.011203358208955225	377	2402	214400	26880
AtlanticForest	Inambari	chr_5	500001	1000000	0.00800869874328252	662	3064	382584	41096
AtlanticForest	Inambari	chr_5	1000001	1500000	0.0070771109232647695	749	3014	425880	53480
AtlanticForest	Inambari	chr_5	1500001	2000000	0.0059751434034416824	636	2050	343088	63952
AtlanticForest	Inambari	chr_5	2000001	2500000	0.0020457779886148006	481	552	269824	38016
AtlanticForest	Inambari	chr_5	2500001	3000000	0.005716857978843124	327	1016	177720	31560
AtlanticForest	Inambari	chr_5	3000001	3500000	0.004559557534061783	279	676	148260	30300
AtlanticForest	Inambari	chr_5	3500001	4000000	0.0006737159430881312	339	118	175148	41812
AtlanticForest	Inambari	chr_5	4000001	4500000	0.0025869527599930785	440	598	231160	50440
AtlanticForest	Inambari	chr_5	4500001	5000000	0.0	262	0	152400	15280
AtlanticForest	Inambari	chr_5	5000001	5500000	0.0017532276995305164	508	478	272640	52480
AtlanticForest	Inambari	chr_5	5500001	6000000	0.005904154456128254	412	1370	232040	31640
AtlanticForest	Inambari	chr_5	6000001	6500000	0.0025214482688183026	583	790	313312	59808
AtlanticForest	Inambari	chr_5	6500001	7000000	0.0025254360465116277	187	278	110080	9600
AtlanticForest	Inambari	chr_5	7000001	7500000	0.003443733534060971	584	1098	318840	54920
AtlanticForest	Inambari	chr_5	7500001	8000000	0.001819608184968075	359	334	183556	46204
AtlanticForest	Inambari	chr_5	8000001	8500000	0.001505082095387021	358	308	204640	24480
AtlanticForest	Inambari	chr_5	8500001	9000000	0.006320861678004535	251	892	141120	19520
AtlanticForest	Inambari	chr_5	9000001	9500000	0.010862354892205639	755	4454	410040	73160
AtlanticForest	Inambari	chr_5	9500001	10000000	0.010827563209823268	385	2208	203924	42476
AtlanticForest	Inambari	chr_5	10000001	10500000	0.006404426254358042	473	1690	263880	38840
AtlanticForest	Inambari	chr_5	10500001	11000000	0.005087024454053269	417	1120	220168	46712
AtlanticForest	Inambari	chr_5	11000001	11500000	0.009976425203600514	344	1862	186640	33520
AtlanticForest	Inambari	chr_5	11500001	12000000	0.008309814989024772	232	1060	127560	20920
AtlanticForest	Inambari	chr_5	12000001	12500000	0.00547168379926412	378	1154	210904	31016
AtlanticForest	Inambari	chr_5	12500001	13000000	0.0030197444831591173	138	208	68880	19440
AtlanticForest	Inambari	chr_5	13000001	13500000	0.001128668171557562	95	60	53160	7640
AtlanticForest	Inambari	chr_5	13500001	14000000	0.006832256327409801	547	2030	297120	52960
AtlanticForest	Inambari	chr_5	14000001	14500000	0.004940951719346996	400	1138	230320	25680
AtlanticForest	Inambari	chr_5	14500001	15000000	0.008291983680670415	663	3008	362760	61560
AtlanticForest	Inambari	chr_5	15000001	15500000	0.0069973427812223205	530	2054	293540	45660
AtlanticForest	Inambari	chr_5	15500001	16000000	0.004735894357743097	605	1578	333200	54000
AtlanticForest	Inambari	chr_5	16000001	16500000	0.0007822005909960021	399	180	230120	25240
AtlanticForest	Inambari	chr_5	16500001	17000000	0.005703321423845441	541	1724	302280	43960
AtlanticForest	Inambari	chr_5	17000001	17500000	0.00733822548365577	100	440	59960	4040
AtlanticForest	Inambari	chr_5	17500001	18000000	0.007399932727884292	448	1760	237840	48880
AtlanticForest	Inambari	chr_5	18000001	18500000	0.005791480410202472	1107	3524	608480	100000
AtlanticForest	Inambari	chr_5	18500001	19000000	0.004465880671668453	414	1000	223920	41040
AtlanticForest	Inambari	chr_5	19000001	19500000	0.0050797348145493635	419	1134	223240	44920
