pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest	Inambari	chr_1A	1	500000	0.058678758571664026	65
AtlanticForest	Inambari	chr_1A	500001	1000000	0.12893552435289246	101
AtlanticForest	Inambari	chr_1A	1000001	1500000	0.0994474453415892	35
AtlanticForest	Inambari	chr_1A	1500001	2000000	0.05300880361967982	15
AtlanticForest	Inambari	chr_1A	2000001	2500000	0.07611483221354536	91
AtlanticForest	Inambari	chr_1A	2500001	3000000	0.04314741840450648	60
AtlanticForest	Inambari	chr_1A	3000001	3500000	0.03446378040062256	61
AtlanticForest	Inambari	chr_1A	3500001	4000000	0.06657260442301001	19
AtlanticForest	Inambari	chr_1A	4000001	4500000	0.011794817784226716	26
AtlanticForest	Inambari	chr_1A	4500001	5000000	0.08000758962873822	24
AtlanticForest	Inambari	chr_1A	5000001	5500000	0.06372497228029608	49
AtlanticForest	Inambari	chr_1A	5500001	6000000	0.032699841862265405	69
AtlanticForest	Inambari	chr_1A	6000001	6500000	0.20598145577781388	97
AtlanticForest	Inambari	chr_1A	6500001	7000000	0.02751263847919919	25
AtlanticForest	Inambari	chr_1A	7000001	7500000	0.010866583754128474	11
AtlanticForest	Inambari	chr_1A	7500001	8000000	0.1925807277104321	7
AtlanticForest	Inambari	chr_1A	8000001	8500000	0.11606475431958943	8
AtlanticForest	Inambari	chr_1A	8500001	9000000	0.03590532396545224	16
AtlanticForest	Inambari	chr_1A	9000001	9500000	0.04508337505525528	15
AtlanticForest	Inambari	chr_1A	9500001	10000000	0.0897316657736928	8
AtlanticForest	Inambari	chr_1A	10000001	10500000	0.02337352958175376	36
AtlanticForest	Inambari	chr_1A	10500001	11000000	0.11878232214578675	24
AtlanticForest	Inambari	chr_1A	11000001	11500000	0.05317321900094798	68
AtlanticForest	Inambari	chr_1A	11500001	12000000	0.04128933430977698	28
AtlanticForest	Inambari	chr_1A	12000001	12500000	0.07154684787046017	18
AtlanticForest	Inambari	chr_1A	12500001	13000000	0.028373601690144405	43
AtlanticForest	Inambari	chr_1A	13000001	13500000	0.03858521332148525	21
AtlanticForest	Inambari	chr_1A	13500001	14000000	0.045740257975631395	62
AtlanticForest	Inambari	chr_1A	14000001	14500000	0.04765665194252073	14
AtlanticForest	Inambari	chr_1A	14500001	15000000	0.09126396006155707	56
AtlanticForest	Inambari	chr_1A	15000001	15500000	0.0644979354374647	47
AtlanticForest	Inambari	chr_1A	15500001	16000000	0.004386843669633712	25
AtlanticForest	Inambari	chr_1A	16000001	16500000	0.08867669188644893	48
AtlanticForest	Inambari	chr_1A	16500001	17000000	0.099883195374041	57
AtlanticForest	Inambari	chr_1A	17000001	17500000	0.07029114732568573	27
AtlanticForest	Inambari	chr_1A	17500001	18000000	0.002557070856803699	7
AtlanticForest	Inambari	chr_1A	18000001	18500000	0.01825088794313025	10
AtlanticForest	Inambari	chr_1A	18500001	19000000	0.09039317321955348	18
AtlanticForest	Inambari	chr_1A	19000001	19500000	0.046007621407247845	16
AtlanticForest	Inambari	chr_1A	19500001	20000000	0.1349965774485982	31
AtlanticForest	Inambari	chr_1A	20000001	20500000	-0.013243242391647933	13
AtlanticForest	Inambari	chr_1A	20500001	21000000	0.19498546399094221	26
AtlanticForest	Inambari	chr_1A	21000001	21500000	0.07307360125844033	11
AtlanticForest	Inambari	chr_1A	21500001	22000000	0.2004844832392475	25
AtlanticForest	Inambari	chr_1A	22000001	22500000	-0.012882748319641067	6
AtlanticForest	Inambari	chr_1A	22500001	23000000	0.19595024000359465	28
AtlanticForest	Inambari	chr_1A	23000001	23500000	-0.012882748319641051	5
AtlanticForest	Inambari	chr_1A	23500001	24000000	-0.010359315413452357	9
AtlanticForest	Inambari	chr_1A	24000001	24500000	0.0397637727823023	30
AtlanticForest	Inambari	chr_1A	24500001	25000000	-0.014598540145984499	5
AtlanticForest	Inambari	chr_1A	25000001	25500000	0.03130072500173504	15
AtlanticForest	Inambari	chr_1A	25500001	26000000	0.1010489926760115	13
AtlanticForest	Inambari	chr_1A	26000001	26500000	0.09316286897695901	25
