pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
M	F	chr_Z	92812	92812	NA	1
M	F	chr_Z	92825	92825	-0.0029076228543529	1
M	F	chr_Z	92829	92829	-0.0029076228543529	1
M	F	chr_Z	92838	92838	-0.0257649302244951	1
M	F	chr_Z	92839	92839	-0.002277800744109	1
M	F	chr_Z	92845	92845	0.0052111903455842	1
M	F	chr_Z	92856	92856	NA	1
M	F	chr_Z	92859	92859	NA	1
M	F	chr_Z	113505	113505	-0.0236801154479273	1
M	F	chr_Z	135186	135186	0.0094662072523584	1
M	F	chr_Z	135211	135211	0.0135110271635031	1
M	F	chr_Z	153843	153843	0.0117487685272293	1
M	F	chr_Z	153844	153844	-0.0023903984560449	1
M	F	chr_Z	153848	153848	0.0120333359365469	1
M	F	chr_Z	153851	153851	0.0117487685272293	1
M	F	chr_Z	153852	153852	-0.0023903984560449	1
M	F	chr_Z	153870	153870	-0.0214392235101616	1
M	F	chr_Z	153873	153873	-0.0147609360225771	1
M	F	chr_Z	153876	153876	-0.0214392235101616	1
M	F	chr_Z	153888	153888	-0.0217187868085556	1
M	F	chr_Z	153893	153893	0.0154780164264083	1
M	F	chr_Z	153927	153927	-0.0049926558067972	1
M	F	chr_Z	153928	153928	-0.0046525117521237	1
M	F	chr_Z	153929	153929	0.0240328039888873	1
M	F	chr_Z	153944	153944	-0.0155512790924452	1
M	F	chr_Z	153959	153959	-0.0039751952371667	1
M	F	chr_Z	153964	153964	-0.0039751952371667	1
M	F	chr_Z	153971	153971	0.0251537746371461	1
M	F	chr_Z	153983	153983	-0.0049926558067972	1
M	F	chr_Z	153984	153984	-0.0183517873628951	1
M	F	chr_Z	163155	163155	-0.0312288841111004	1
M	F	chr_Z	163158	163158	NA	1
M	F	chr_Z	163163	163163	-0.0186593847494494	1
M	F	chr_Z	163164	163164	-0.0080919523524109	1
M	F	chr_Z	163179	163179	NA	1
M	F	chr_Z	163225	163225	NA	1
M	F	chr_Z	163227	163227	-0.0028228021100763	1
M	F	chr_Z	172951	172951	-0.0153846153846153	1
M	F	chr_Z	172952	172952	-0.0398058252427184	1
M	F	chr_Z	172963	172963	-0.0375457875457875	1
M	F	chr_Z	172983	172983	0.0762928827444956	1
M	F	chr_Z	172984	172984	NA	1
M	F	chr_Z	172985	172985	0.0762928827444956	1
M	F	chr_Z	172989	172989	0.0	1
M	F	chr_Z	226477	226477	-0.006306477876644	1
M	F	chr_Z	226478	226478	-0.0232183156525431	1
M	F	chr_Z	226481	226481	0.0055829701401144	1
M	F	chr_Z	226501	226501	-0.0240490841145518	1
M	F	chr_Z	226504	226504	NA	1
M	F	chr_Z	226518	226518	-0.0023903984560449	1
M	F	chr_Z	230145	230145	-0.0021188694379678	1
M	F	chr_Z	230150	230150	-0.0021188694379678	1
M	F	chr_Z	230152	230152	-0.0021188694379678	1
M	F	chr_Z	230161	230161	NA	1
M	F	chr_Z	230175	230175	0.0112601153407847	1
M	F	chr_Z	230178	230178	-0.01777314339789	1
M	F	chr_Z	230184	230184	-0.021488347087172	1
M	F	chr_Z	230190	230190	0.0112601153407847	1
M	F	chr_Z	237338	237338	-0.0062753126529884	1
M	F	chr_Z	237345	237345	-0.0194411539265556	1
M	F	chr_Z	237350	237350	-0.0062753126529884	1
M	F	chr_Z	237363	237363	-0.0194411539265556	1
M	F	chr_Z	237367	237367	0.0173623937938677	1
M	F	chr_Z	237370	237370	-0.0062753126529884	1
M	F	chr_Z	237379	237379	-0.0194411539265556	1
M	F	chr_Z	237381	237381	-0.0062753126529884	1
