pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	100001	600000	0.11837748344370853	138
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	600001	1100000	0.020385050962627396	105
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	1100001	1600000	0.055614238935248785	73
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	1600001	2100000	0.1255301473481701	75
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	2100001	2600000	-7.186711543332484e-17	44
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	2600001	3100000	0.10672853828306263	82
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	3100001	3600000	0.03538812785388128	41
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	3600001	4100000	0.13134549038935434	35
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	4100001	4600000	0.11407766990291249	31
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	4600001	5100000	-0.046511627906976646	31
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	5100001	5600000	-0.006097560975609757	13
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	5600001	6100000	-0.10465116279069765	31
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	6100001	6600000	-0.030927835051546393	33
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	6600001	7100000	0.02777777777777778	53
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	7100001	7600000	0.04325513196480933	30
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	7600001	8100000	-0.0121358231520451	104
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	8100001	8600000	0.06249999999999999	54
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	8600001	9100000	0.06976744186046503	40
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	9100001	9600000	0.1415662650602409	14
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	9600001	10100000	0.23510845477133838	28
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	10100001	10600000	0.040178571428571425	17
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	10600001	11100000	0.015151515151514968	26
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	11100001	11600000	0.03846153846153845	32
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	11600001	12100000	0.010455390334572507	38
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	12100001	12600000	0.059068605920664576	80
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	12600001	13100000	0.08227848101265821	35
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	13100001	13600000	0.037610619469026475	52
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	13600001	14100000	0.05575539568345313	43
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	14100001	14600000	-0.08552631578947358	15
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	14600001	15100000	0.0656565656565656	43
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	15100001	15600000	0.059799879192163195	81
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	15600001	16100000	0.2136671621668337	101
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	16100001	16600000	0.029567179243602627	96
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	16600001	17100000	0.1995750977410947	122
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	17100001	17600000	0.07713498622589528	112
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	17600001	18100000	0.09878426933110197	93
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	18100001	18600000	0.037162162162162046	101
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	18600001	19100000	0.032927914565410825	51
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	19100001	19600000	0.02557338936826571	94
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	19600001	20100000	0.2045454545454545	33
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	20100001	20600000	-1.0408340855860839e-16	11
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_10	20600001	21100000	-0.08695652173913021	2
AtlanticForest_Ibateguara	InambariE	chr_10	100001	600000	0.1404240015492009	138
AtlanticForest_Ibateguara	InambariE	chr_10	600001	1100000	0.009361257018428317	105
AtlanticForest_Ibateguara	InambariE	chr_10	1100001	1600000	0.02789265933053426	73
AtlanticForest_Ibateguara	InambariE	chr_10	1600001	2100000	0.06755262668170023	75
AtlanticForest_Ibateguara	InambariE	chr_10	2100001	2600000	0.04354106479570775	44
AtlanticForest_Ibateguara	InambariE	chr_10	2600001	3100000	0.11938131067014927	82
AtlanticForest_Ibateguara	InambariE	chr_10	3100001	3600000	-0.05878251935566723	41
AtlanticForest_Ibateguara	InambariE	chr_10	3600001	4100000	-0.010927010427081852	35
AtlanticForest_Ibateguara	InambariE	chr_10	4100001	4600000	0.19534806261796375	31
AtlanticForest_Ibateguara	InambariE	chr_10	4600001	5100000	0.29459528038568883	31
AtlanticForest_Ibateguara	InambariE	chr_10	5100001	5600000	0.022196431162048547	13
AtlanticForest_Ibateguara	InambariE	chr_10	5600001	6100000	-0.03884892086330939	31
AtlanticForest_Ibateguara	InambariE	chr_10	6100001	6600000	0.17971698113207538	33
AtlanticForest_Ibateguara	InambariE	chr_10	6600001	7100000	0.05164220086598372	53
AtlanticForest_Ibateguara	InambariE	chr_10	7100001	7600000	0.03461388876885184	30
AtlanticForest_Ibateguara	InambariE	chr_10	7600001	8100000	0.1463024223668765	104
AtlanticForest_Ibateguara	InambariE	chr_10	8100001	8600000	0.16933546837469968	54
